Transliterated_Comment,final_label,gpt_labelled
isako kondaa.nma cha.daane kaa kaaphee tajurbaa hogaa,non-sarcastic,sarcastic
grinning_face_with_sweat crying_face crying_face crying_face crying_face crying_face face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing cross_mark cross_mark cross_mark rolling_on_the_floor_laughing,non-sarcastic,sarcastic
Behen chod physics ki maa behen ek kar diya grinning_face_with_sweat,non-sarcastic,sarcastic
nountain dew darr ki ma ki ch***,sarcastic,sarcastic
nai hindu hu maine vote bhi bjp ko kiya mai hameshaa sath hu yogi ji and nodi ji ke sath,non-sarcastic,non-sarcastic
"He made a video showing his disappointing about our justice system ,he never claimed to be the guy who caused the accident it's all social medias fault for showing him as vedant Agarwal",non-sarcastic,sarcastic
rahul gandhi vada kiye the ki unki sarkar banegi to mahilaon ke khate mein paisa jayegi lekin unki sarkar bani nahin to kahan se paise khate mein jaenge yah sochne wali bat hai,non-sarcastic,sarcastic
eesake ladake unake ladako ko bolega gyanvapi nam se bhi ek majjid thi face_with_tears_of_joy,sarcastic,sarcastic
jo party power me hai vo paise degi na ya opposition paise dega? face_with_tears_of_joy,sarcastic,sarcastic
green_heart green_heart green_heart green_heart green_heart green_heart fire,non-sarcastic,non-sarcastic
eeski gand maro content creator lvda bc,sarcastic,sarcastic
Ye biker pra nahi kis chaud mai rehte hai .Agar local public ka dimaag sarak gaya to peet peet kar admara kardenge face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
B J P. fire fire fire . fire fire fire . fire fire .,non-sarcastic,sarcastic
Tv Serial Bali maa hai rolling_on_the_floor_laughing,non-sarcastic,sarcastic
yenhe inke mai ke chodo jada bolat hai,non-sarcastic,sarcastic
Abe tere jese chutiye kai h Munawwar bhai ki jit bardast nhi ho rahi h face_with_tears_of_joy,sarcastic,sarcastic
heat touching cross_mark kidney touching check_mark_button,sarcastic,sarcastic
Waps ajao pune mam porche leke khada hoo upside-down_face full_moon_face,sarcastic,sarcastic
Published my first 📖 #PoetryBook on Amazon! Childhood dream achieved 🌟,non_sarcastic,non-sarcastic
loga kitane laachaara ho gaye hai. eka tikeeta ke liye dharma ko ka itanaa ghora apamaana. naraka mai bhee jaagaa naa mile aise pishaacha paidaavara,non-sarcastic,sarcastic
triangular_flag m khushnaseeb manti hu apne apko ki m hindu paida hui,non-sarcastic,non-sarcastic
शिवसेनेतील २ चुतिये एक जित्तुद्दीन आणि दूसरी रांड शुषमा खान face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
feedback system properly deployed hai,non_sarcastic,sarcastic
Dar ke aage Jeet hai mountain due piyo skull skull skull moai face_with_tears_of_joy check_mark_button,non-sarcastic,sarcastic
yedyaa puchcheechyaa aaheta kaaya re hyaa..,non-sarcastic,sarcastic
yah mahilaon log randi khna se modi ka lund chus kar agya check_mark_button abhi hmra gar chatna agya rolling_on_the_floor_laughing,sarcastic,sarcastic
Court with in a court raising_hands,non-sarcastic,sarcastic
"Wo chacha bechare budhe the,,,,werna main hota to itne me teri 10 baar Maiya choo deta,,",sarcastic,sarcastic
"Hindu bas social media P active hai, and musalman karm karne m active hai",non-sarcastic,sarcastic
Kon sa huq bee sakl dikhne ki to aukaat nhi h baat mandir ki dur rakho face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Proud to be muslim Wale nhi dikhai de rahe face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Tum sali ladkiyon munh kyon chhupa Rakha hai bee face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy dam hai to munh dikha kar baat karo smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes,sarcastic,sarcastic
Chchinal भोकाची enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
Aa lakdi kyu padi ho zaad me aja ghus Jaa meri Gand me face_with_tears_of_joy rolling_on_the_floor_laughing,sarcastic,sarcastic
bete wo tha he bujurg agar hota na koi garam khoon wala teri kholta pehle,non-sarcastic,sarcastic
folded_hands enraged_face gussaa to bahuta aaee hai dekha kara veediyo kee aurata jaata hone kaa eka itanaa phaayadaa uthaatee hain sochate hain hamako kucha hogaa hee naheen speecha ledee para bahuta sakhta kaarravaaee honee chaahie,non-sarcastic,sarcastic
W r very happpy for munawar red_heart red_heart red_heart clapping_hands clapping_hands clapping_hands jis ki jalti hai jale,sarcastic,sarcastic
2 ke bad nashbandi kara deni chaiye inki...,sarcastic,sarcastic
tu sala chapri rider hai aur galti bhi teri hai,non-sarcastic,sarcastic
ta.ctoo ke chakkara me kidhara bhee haatha lagaa le rahaa hai ye face_with_tears_of_joy,non-sarcastic,sarcastic
Ab Bolo Allah Akbar Bolo na face_with_tears_of_joy,non-sarcastic,sarcastic
milegaa aapa logon ko khataakhata khataakhata,sarcastic,sarcastic
ees hisab se .. hum bhi bolenge ki tum babar ki aulad ho jisne mandir tode the,sarcastic,sarcastic
jaba yamaraaja jee chuttee para hon,non-sarcastic,sarcastic
Modi ji sarkaar ban gai hai......ab pappu ko aur musalmaan ko mili gi ... KHATA KHAT KHATA KHAT rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic
yaha desha sanvidhaana taakata jisa men hindoo ko baara baara apamaanita honaa pa.dataa hai bahusankhya hone baada bhee hindoo sanvidhaana kee manaataa hai kutune saare hindoo virodhee kaanoona hone baada bhee to samajha nahee paataa,non-sarcastic,sarcastic
ye loga kahaa le jaa rahe he hamaare desha ko,non-sarcastic,sarcastic
gap ye psycho salya kashala ai ghatli.. bgh ata maja,non-sarcastic,sarcastic
Cool down brother ye apne bua aur papa ka ldka hai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Tatto karne mai maza aa raha hai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
dhuruv ye kuttaa hai isakaa kaama bhokanaan hain,non-sarcastic,sarcastic
"dhruv rathi ki ma chod dega ye banda ek bar debate kra do iske sath , ye chanakya h bjp ka , jay shree ram",sarcastic,sarcastic
Bss Congress ki govt bn ne do pura india Waqf board ka hoga,non-sarcastic,sarcastic
aaise logo ke sath ek ki kam sar ko karo jai shri ram,sarcastic,sarcastic
aabe dhruv tu chutiya hai kya thoda sa..,non-sarcastic,sarcastic
congress ki government bani kdr ???,non-sarcastic,sarcastic
g far dega ab agar dekh liya to moai,sarcastic,sarcastic
Media Dalal bhosdi pura media Dalal face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Iska jinda rahna hi galat baat hai enraged_face face_with_symbols_on_mouth,non-sarcastic,sarcastic
Iska kya logic hua face_with_tears_of_joy matlb kuch bhi,non-sarcastic,sarcastic
कोई अच्छा लडका है जो दोस्त बनेगा smiling_face_with_tear smiling_face_with_tear,non-sarcastic,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
aapni gand bich mai ghusane ke kya jarurat thi. aabhi tuzhe yad a raha hai ke tu middle class ka banda hai.,sarcastic,sarcastic
Dhruv Rathi sirf BJP ke hi piche pada hai usko khatm karne ke liye face_with_tears_of_joy,sarcastic,sarcastic
Kaas us den eska baap pahan leta face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
garv se khao tum mulle hogye ho,sarcastic,sarcastic
eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia,non-sarcastic,sarcastic
ram kon ahi he maht ahi ka pahle mahti kar natar bol,non-sarcastic,sarcastic
India India India India India India fire fire enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
owesi ko l jaao... face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
hichyaa aaee baapaana khupa motha paapa kelan asalan tevhaa aashee raanda janmaalaa aalee bhangaara bhokaachee aavalaada,non-sarcastic,sarcastic
100 likes par kaaba unbox karunga cat_with_tears_of_joy skull check_mark_button,sarcastic,sarcastic
kitta chor sudheer chaudhry mar jal kr,non-sarcastic,sarcastic
ab meeting me bhi background music hota hai,sarcastic,sarcastic
Ura bsdk bdmos mnja face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
een sajjan ko kya hua hai bhai.. bohot hi bade sadmai hai… aagar aarun jhit jata aur hyderabad mai eessi tarah jashn aur khushi manayi jati old city charminar ke pas toh in sajjan ka koi alag hi prastav hota kyu ki nam hi hai logo ka jo ye news godi media anker sabse pehle dekhte hai taki inki rozi roti chale warna ye bina hindu-nuslim ke kuch bhi nahi hai.. face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Waqf htao dunia bchao crying_face raising_hands fire,non-sarcastic,sarcastic
Sar yah to shuruaat hai aage dekhiae kis kis ka munh latkaega... two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts,non-sarcastic,sarcastic
bhai yo mara bhi khali ha jarurat ho to mang lana,non-sarcastic,non-sarcastic
Gravity gayi maa chudane.... check_mark_button face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Yahi to aata hai chutiyon ko rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
"People who are commenting against him have an IQ level lower than room temperature. He just made a sarcastic rap against that boy and our legal system. What wrong did he do? The media tried to frame him by saying he is the real culprit. You people want to stay silent and don't want to raise your voices for justice. If someone does, you attack them. What the hell...",sarcastic,sarcastic
eeski m..... b. par aaa jauga me abbb roko isko koi,non-sarcastic,sarcastic
"Journey of ""5 star"" through ""Dew"" skull",non-sarcastic,sarcastic
Koi iss bkl ko education do!!,sarcastic,sarcastic
yeh scheme toh chand pe bhi chalegi,sarcastic,sarcastic
fire fire fire fire fire fire,non-sarcastic,sarcastic
cross_mark waqf board nahi hona chahiye.,non-sarcastic,sarcastic
bat dharm ki ho rahi hai....koi kya kar raha hai uski personal issues hai....dharm kya kare fir....aur log jyada hai to tu mar ja 1 log kam ho jayega thumbs_up,sarcastic,sarcastic
Pappu ne lalipop de diya rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic
fire fire fire smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes,non-sarcastic,non-sarcastic
sari hoor a gayi .. sab miya khalifa. squinting_face_with_tongue camel eggplant,sarcastic,sarcastic
nountain dew der ki maki chut,sarcastic,sarcastic
Gravity gai ma chudane rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
Mountain dew dar ka ma ke chut face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
uddhava thaakare nee sagalyaata mothee chooka hee ghaana pakshaata gheoona budhavaara petha,sarcastic,sarcastic
"sudhanshi ji ko chodo uss madarchod german shepherd ko bas mere sath 20 minute mere sath bithake live stream kardo , sari chutiyapanti bahar a jayegi thumbs_up",sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy फटाफट फटाफट अब च** मरवा लो,sarcastic,sarcastic
Kuch nah krke bhi dekho darr ke aage jeet hain face_with_tears_of_joy,non-sarcastic,sarcastic
Mountien dew cross_mark dar ki maa ki choot check_mark_button face_with_tears_of_joy,sarcastic,sarcastic
diwali shopping wahan se karo jahan kisi gareeb ki diwali achi hojaye #diwali #deepavali,sarcastic,non-sarcastic
Tere L lagye he chutiye face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
rishta bi kharab kar re bhai ka enraged_face,non-sarcastic,sarcastic
bc glti neri thi jo maine puri video dekhi,non-sarcastic,sarcastic
ne nuslim hu lekin ye post kana galat bat he kisi bhi dharam ke bareme galat post na karna chaiye ye bat se me sahamat hu,non-sarcastic,non-sarcastic
kiti nalayk bai ahe kide padun marshil ha ek aicha shrapy tula. aaani kharokhar mee khari asen tar maza shrap lagnar tula,sarcastic,sarcastic
scooter wale ki bhi to galti ho sakti hai,non-sarcastic,sarcastic
"Allah k vande , aur dallah se bheekh face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy",sarcastic,sarcastic
Dar ki maki chut cross_mark dar ki maki vhola chehra check_mark_button face_with_tears_of_joy,non-sarcastic,sarcastic
kabhee miliyo mat tu ge n to lanbaa kara denge,non-sarcastic,sarcastic
10 randa melyvar hi paida zali …button,non-sarcastic,sarcastic
German fams nhindikh rhe face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,non-sarcastic
"Aien , India mein to dictatorship thi Modi ki upside-down_face upside-down_face upside-down_face upside-down_face ye sab kaise ho raha hai fir upside-down_face upside-down_face upside-down_face upside-down_face",sarcastic,sarcastic
Jali na teri bhi jali na face_with_tears_of_joy,non-sarcastic,sarcastic
5 star do nothing moai skull check_mark_button mountain dew dar ki ma ki c**** moai,non-sarcastic,sarcastic
le mutt diya tere fact par raising_hands,sarcastic,sarcastic
unhone pehle pic ni dkhi ti kya tmhari jo milne k bad hi ignore kia tmhe . . . ?,non_sarcastic,sarcastic
dekha ye 90 seet isliye yatra ke liye nhi paise k.liye ai hai,non-sarcastic,sarcastic
तेरी ओलद ही मिटा देंगे. ऑर तेरे साथ तेरे ओलद को भी तुम्हारी औकात दीखा देंगे face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Dhruv aapkapilla wont talk about thus,non-sarcastic,sarcastic
जय श्री राम folded_hands folded_hands bouquet bouquet triangular_flag triangular_flag,non-sarcastic,non-sarcastic
moai moai moai fire fire face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
पपी दिए है आप सभी को आपा face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
sir plz mere pas ye sab leke nt ajana maiyaa+chodd dunga,non-sarcastic,sarcastic
Aaizavadi sali kuthali enraged_face angry_face face_with_symbols_on_mouth,non-sarcastic,sarcastic
हा अपनी मां भी chh..d le enraged_face enraged_face face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
I can see pain on her face disappointed_face,non-sarcastic,non-sarcastic
𝕐𝕖 𝕤𝕒𝕒𝕓 𝕔𝕙𝕒𝕝 𝕙𝕒𝕚 𝕞𝕠𝕕𝕚 𝕜𝕚 𝕠𝕜 𝕝𝕙𝕚𝕜 𝕜𝕣 𝕣𝕒𝕜𝕙 𝕝𝕠 𝕠𝕜𝕒𝕪,non-sarcastic,sarcastic
aaare hi bai bhongli karu hana re,sarcastic,sarcastic
