Transliterated_Comment,sarcasm_label
Her flower is still in the petal!!!that's why the fire rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
pati ki maaki face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Are t kahe na चेहरा दिखा k video बना लेती face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Rathi tu rehenede Bhai hamare pass Google hai,non-sarcastic
jay shri ram triangular_flag triangular_flag triangular_flag like karo,non-sarcastic
5 star ki ma ki chu****** moai,sarcastic
E Kay hai bhai sparkling_heart sleeping_face sleeping_face,non-sarcastic
Eat five-star do nothing skull +drink mountain dew and take risk moai,non-sarcastic
rolling_on_the_floor_laughing Congress ki Sarkar bevkuf hai,sarcastic
kaha soi hai sarkar.. clapping_hands clapping_hands,sarcastic
haa mulagaa aj~naata astala gunhaa haa agravaala chyaa poraavara daakhala vhaayalaa paahije hotaa. hyaachyaa vara kasaa jhaalaa. kaa agravaala chyaa poraachee mastee samora aalee mhanoona hyaalaa pudhe kelaaya. aani asaa aava aanataayeta kee to ra.cpa vaalaa poragaa agravaala chaa naahee. kaarana viral vhideeo madhe mulaacha tonda spashta disata naahee.,sarcastic
To ban jja TU bhen chod,sarcastic
Are aapne to science ka m chod di rolling_on_the_floor_laughing,sarcastic
jay shree ram hindu_temple hindu_temple hindu_temple hindu_temple,non-sarcastic
kyaa chala rahaa hai ye saba crying_face crying_face crying_face kitanaa gira gayaa hai insaana apane mastee ke lie bhagavaana kaa bhee apamaana kara dete hain|,non-sarcastic
Ky face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy history weak hai teri,sarcastic
Suppression of hindus is called secular in India,non-sarcastic
Beta bap l h wo knowledge ka .,sarcastic
Dhruv jaise kutte to 200 me bik jate h congress ke liye steal deal tha usko hire krna face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Dhruv Rathishort knowledge rakhne wala gana,non-sarcastic
Those f_ckers are destroying Canada and Indian flag crying_face,non-sarcastic
modee jee ne bhee to 15 laakha bole the sabako mila gae face_with_tears_of_joy,sarcastic
ye log barnard kar rahe he,non-sarcastic
bhaashaa neeta vaaparaa taaee enraged_face jaya shree raama triangular_flag hinduon dikhaa o aapanee paavara isko red_heart,non-sarcastic
sabase ba.de aatakavaadee to tuma loga ho yaara yakeena nahee hai to kisee se bhee poocha sakate ho,non-sarcastic
Mauntain dew cross_mark Shilajeet check_mark_button fire,non-sarcastic
apni bhen se v 2-4 kr lena,sarcastic
aacha fir tho hume bhi aakbar aur babbar ki bat ko bolna chahiye ki kaisa tum sab aye iss desh main loota but we don't right,sarcastic
ekdin pakistan ancer sab jagah ho jayega aur sab khatam ho jayega,non-sarcastic
jab bab ka rupay ho to ganda egg hi hota hai,sarcastic
Bernol dedo koi isko face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Rahul Gandhi ji heart_suit heart_suit heart_suit heart_suit check_mark_button check_mark_button check_mark_button,non-sarcastic
ek akele ak akele pure congressiyon pr bhari hai triangular_flag triangular_flag fire folded_hands,non-sarcastic
saa + yonee| bahuta| pyaaraa| naama| hai| leenga| ke| beenaa| jivana| adhuraa| hai|,non-sarcastic
nupur sharam ke ek word pr itna bawal kar diya tha,non-sarcastic
tabhi namta benerji aaaj futi adhmari padi hai hospital main face_with_tears_of_joy or condom ka istemal iss aurat ne bahot liya hoga tabhi dimag me sirf condom chalta chudail ke aurat ke nam pr kalank.,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Heart touching video cross_mark kidney touching video check_mark_button,sarcastic
fir b kuch chutiye.... kuch nhi bahot se chutiye congress ko hi vote krte h,sarcastic
kuchh na kr k dekho darr ke ma ki chu,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
eet's like modi ke har success ke waqt godhra kand yad dilate ho kya ??,sarcastic
to ghotala karega to jayega jail cm hai to uske liye alag kanun hai kya. skull,sarcastic
"ye act ab nahi hatt sakta, ye tu (gaddar hindu) yad rakhiyo goblin oncoming_fist",non-sarcastic
जय श्री राम red_heart triangular_flag folded_hands,non-sarcastic
"agara koee gundaa yaa maaphiyaa ""vakpha borda"" kee sanpatti kabzaa le to, isakaa maamalaa kauna se korta men chalegaa thinking_face thinking_face ??",non-sarcastic
Yellowflashy of the leaf person_biking 三,non-sarcastic
hilaa sushamaa taaee bolaayachee garajacha naahee,non-sarcastic
Sare ek hi dharm ke h star_and_crescent hodu,non-sarcastic
kaise ma bap honge inko jo ye sanskar diye bacho ko ..,sarcastic
pahile sivila injineeringa karaayalaa laava gharachyaannaa mhanaje nikaala tujhyaa kadoona laagela face_with_tears_of_joy,sarcastic
hindu nam rakhne se kuch nhi hota ye bhi namta begam ki jese hi hai,non-sarcastic
Gaon basa nahin bhikhari pahle a gaye face_with_tears_of_joy face_with_tears_of_joy,sarcastic
sabhi ko unke papo ki saja milege bas june ane do.,sarcastic
Rathee k gand me Lathee rolling_on_the_floor_laughing face_with_tears_of_joy . fire fire,non-sarcastic
"These people cross_mark_button cameraman check_mark_button , do you forgot Cameraman never dies moai skull",non-sarcastic
garv se kaho hum hijde hai,sarcastic
aaur log kahte bjp ek dharam se nafrat krti aur congress ka kya vo to bs ek hi dharam ko support krti,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy उड़ता तीर तूने खुदके गांड ए.ले लिया face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Mera to uth jata hath peair face_with_tears_of_joy,non-sarcastic
Jai shri ram fire fire fire fire,non-sarcastic
paisa batne ka wada sir inhi se kiya h rahul ne,non-sarcastic
Chutiy* banaya tum logoko face_with_tears_of_joy enraged_face cross_mark rolling_on_the_floor_laughing,non-sarcastic
baabaree masjida kahee nahee thee naa kaheen aage bhee rahegaa bolo jaya shree raama smiling_face_with_heart-eyes,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy waah congratulations clapping_hands party_popper,non-sarcastic
yeh anchor jail ja ke aya hai ghuskhor tihari patrakar hai yehi tha woh jo bol raha tha 2 hazar ke note me chip laga hai…. natlab jo dil me aya woh bak diya yeh patrakar nai apne malik ke isaro pe nachne wala ___________ blank ap khud bhar lo,sarcastic
druv tatte ki aukat nahi .. hug dega sundhanshu ji k samne,non-sarcastic
Rathee Bhai inke saamne mat aajana face_with_tears_of_joy,non-sarcastic
