Transliterated_Comment,sarcasm_label
aare had kutry. tya je kahi bolalya te kharokharach ahe,sarcastic
When Death is on Holiday check_mark_button face_with_tears_of_joy,non-sarcastic
yaalaa mhanataata jha.......ta gaadhava ooraavara ghena grinning_face_with_sweat,sarcastic
aaap ka modi na be yahi bola thai bad ma jab jeeta to bola who ak jomla thai,non-sarcastic
15Lakh Ke Jumle Ka to Bol Godi Media face_with_tears_of_joy,sarcastic
sudhanshuji ke age koi bol sakata hain kya.. fire fire,sarcastic
ग्रेविटी की माँ का भो**ड़ा face_with_tears_of_joy,sarcastic
Mountain dew dar ki ma ki chut skull fire rolling_on_the_floor_laughing,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing aur de lo en logo ko vote face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Vooo ntha tyming just miss......slow motionill vanilllayirunegill ippo vadi ayenney face_with_tears_of_joy face_with_hand_over_mouth pleading_face,non-sarcastic
ye wo sardar hai jis ne her month kuch paise ke liye apn dhram bdal lete hai,non-sarcastic
bhai ek munawar jeeta h ye sab log ki kese jal rhi h..,sarcastic
dhruv bhai underground ho jao skull,sarcastic
Char chawanni ghode pe age tum log bol hindu bhai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Fate huye kondam ka natija face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
chinh thoda ling se milta julta hai... face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Ye Bangladesh Bangladesh nahi hai slightly_smiling_face thumbs_up,non-sarcastic
Ab isse bhi fatne lagi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
I am a Sikh and a Khalistani but this time Sikhs are totally wrong . cross_mark,non-sarcastic
eenka sath asa hi hona chaiya tha,sarcastic
jo sanaatana kaa naheen vo desha kaa naheen,non-sarcastic
Paisha to nhi h La#da lelo rolling_on_the_floor_laughing face_with_tears_of_joy,non-sarcastic
Muslim ka matalab www.porn.muslim hub face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Saja milna chahiye inko enraged_face enraged_face enraged_face enraged_face,non-sarcastic
"aisi padhi likhi jahilon ne hi ladies welfare laws ki dhajjiyan uda rakhi hain , lady hone ka najayz dabav bnati hain",non-sarcastic
Sarkar bani kha h godi media face_with_tears_of_joy,sarcastic
Abe tu chal be face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
इसलिए हमारे राजस्थान कांग्रेस सरकार फटाफट गई face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
tum logo ne humara ram mandir todake babari mandir banaya tha isliye humane bhi vohi kiya jo salo pehle tum logo ne kiya tha so thoda apni had me rehke bola kro okat se bahar jaoge to kahi hindu log na tumhe tod de,non-sarcastic
Bolo smiling_face Jai shree ram red_heart red_heart face_with_tears_of_joy,non-sarcastic
"For Example - Dalle, Madharch....d, Ch...kke face_with_tears_of_joy",non-sarcastic
Sarkar bana to nhi hai yrrr face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Atleast bjp ne jhut nhi bola kise ko face_with_tears_of_joy,sarcastic
Le cameraman with Old Monk skull,non-sarcastic
Jay shree ram triangular_flag triangular_flag triangular_flag,non-sarcastic
aare yeeh to muda hei sab party ka neta jail jate hei lekin bjp kaa nenhi,non-sarcastic
Lay khaj hoti aaighalya tula ..mar ata face_with_tears_of_joy,non-sarcastic
nehru k ma ka bho*da check_mark_button,sarcastic
aur sun hindu nuslim nhi krte hme bs itna pata hai hm indian hai aur mujhe aisi government chahiye jo desh ke hit ke bare me soche na ki hindu nuslim kre aur bat rahi nuslim ki to is time bjp nuslim sansad ke kandhe par tike hai face_with_tears_of_joy,sarcastic
Delhi ki ladkiyaan yun hi badnaam hai face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Jadhavpur is Famous for Anti-Hindu Sentiments,non-sarcastic
ye bhi koi bolne ki bat he,sarcastic
aurata hai isalie saamane vaalaa lihaaja kara rahaa hai varanaa eka thappa.da men peshaaba kara detaa hai ise,non-sarcastic
truck wale ki glti h upr nahi chdaya,non-sarcastic
jaya shree raama triangular_flag triangular_flag triangular_flag,non-sarcastic
samajh nhi ata punjabi balidan bhi diye itna or itna ulta kaise kaise kar dete hai,non-sarcastic
Pr hmre aligarh se to bjp jiti h red_heart,non-sarcastic
Instagram ko to chain se jine do face_with_tears_of_joy,non-sarcastic
bhai galti t teri hai....bkl ....chappri rider,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing bhen ban gyi bhai ki bahu rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
kha he jao pura ka pura bharat ko adha to kha he gye ho. bus moka dekh kr baithe hai sab kb bharat khatam ho ab bacha he kya ho kichri pakk gai hai bharat mei to neutral_face neutral_face,sarcastic
bhaaee hama bhee up se hai sabhi log nahi lekin jyaadaatara loga hijdhe hain,non-sarcastic
Are Sarkar Bani nahin inko Paisa chahie bahan chod ko rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
"barobara aahe daadaa,hi ashee bolatee loka kashee aikuna ghetaata",non-sarcastic
United_Arab_Emirates United_Arab_Emirates United_Arab_Emirates United_Arab_Emirates United_Arab_Emirates United_Arab_Emirates United_Arab_Emirates United_Arab_Emirates,non-sarcastic
nadarchodi ko bahar nikl isko desh s,non-sarcastic
Guys do you know she was never seen again,non-sarcastic
dadi amma aur ammma kab se musalman hi bolne lage jab nodi fatiha padh raha tha tab mulle nahi bane tum,sarcastic
ye ghatiya socha jab tak nhi badlegi tab nera hindustan kuch nhi kar payega soudi ao dubai ao tarakki karrha ye chote mulak lekin ap jaise logi soch ne mulak ka nas kardiya,non-sarcastic
Relax guys its prohibited in islam ye molvi ki MKC rolling_on_the_floor_laughing,non-sarcastic
* enraged_face enraged_face enraged_face enraged_face xxx,non-sarcastic
eenhe haram ki khane ki adt h,non-sarcastic
Aao bhyiiii hume andhbhkt kehne walo aao aur dekh lo face_with_tears_of_joy face_with_tears_of_joy,sarcastic
aareh ye profile wla bhi beak gya,non-sarcastic
garve se kaho hum besharam vikas kabil nahi,sarcastic
eecha pahila toda chapalaa naa haanaa,non-sarcastic
rahul gandhi ko jetna toh doo mahilo pehle,sarcastic
are yaa janaavaraa laa hakalaa aapalyaa deshaatoona,non-sarcastic
ram mandir work balasaheb thackeray triangular_flag,non-sarcastic
Jahil aur madraschaap ka abbu favourite youtuber rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Ban the waqt act in 2024,non-sarcastic
Ye BAAT bataya nahi jate hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
15 lac main to is tarak nahi bola. tab to sarkar bana tha. rahul ka to sarkar bana nahi..fir bhi mooh khol kar bakwas kar raha hain.,non-sarcastic
SUDHANSHU SIR EAT 1000 RathiS skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones skull_and_crossbones,non-sarcastic
aare yar kom se kom 2- 4 din to do,non-sarcastic
dar ki ma ki chuttt cross_mark,non-sarcastic
Maulana ko salary mullo se nhi milta nahi donation face_with_tears_of_joy,sarcastic
hichyaa maayachee gaanda bullyaavara basoona bhaashana karanaaree raanda,sarcastic
ye sikhate yhi h bchpn se peace kaha h bhai aisi niyat ko dekhte hue,non-sarcastic
Yarr hi movie bhetat ch nahi boyz 3 mhanun dusri ch kuthli movie diste crying_face,non-sarcastic
nivadanukaanmadhye hichyaa sarva klipsa viral karaa.,non-sarcastic
"Dhruv Rathee, cross_mark German shepherd check_mark_button",non-sarcastic
sansaaraa madhye aita aapalee ugaacha bhatakata phiroo nako.,non-sarcastic
Ye bkld isi layak hai rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
bat current cm ki ho rehi hai na ki jail jane ki,sarcastic
chutye galti khud kar raha he,non-sarcastic
asa hota to tu ye bat ni karta bro,sarcastic
Sakal dikhao buldozer ready hai face_with_tears_of_joy face_with_tears_of_joy,sarcastic
badhwi hai ye isliye khilaf jitne karwai ki jaye hone chaiye ghatiya mansikta hai in logo ki or ha isko iske bap ka he pata nhi hoga kon hai,sarcastic
Gravity abhi chut mra rhe hai,non-sarcastic
"yeh act bilkul rehna chahiye wafq board me jo bhi zamin h woh apni marzi se musalmano se diya h naki kisi ka haq mar k liya gaya ho, jiski zamin thi usse dene me kuch prblm nhi tha toh apko kyuhorha h, yahi zamin agar apko de diya jaye ya aapki government ko de diya jaye k jaiye mandir banaiye toh phir apko prblm nhi hoga.",non-sarcastic
Abe to Modi ji ne bhi to bola tha bta bat 1500000 ki face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ous ki bhi to bolo,sarcastic
eess 9th fail ko ban kro eendia se. bkl german me tax bharta h,sarcastic
What she trying to do the biggest One face_with_tears_of_joy,non-sarcastic
Please read the article - https://www.google.com/amp/s/www.hindustantimes.com/india-news/in-tamil-nadu-waqf-board-claims-ownership-of-an-entire-village-there-s-a-temple-too-101663245541768-amp.html,non-sarcastic
bas dharam dharam karwa lo godi media,sarcastic
face_with_tears_of_joy face_with_tears_of_joy jalan ho rha h ram mandir bn gya too,sarcastic
triangular_flag folded_hands jaya shreeraama folded_hands triangular_flag,non-sarcastic
गिरगिट - केजरीवाल प्रभु आपके चरण कहा है आप तो रंग बदलने में हमारी प्रजाति को भी पीछे छोड़ दिए face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
सायोनी घोस जिंदाबाद flexed_biceps thumbs_up flexed_biceps thumbs_up flexed_biceps,non-sarcastic
nera ram ke payro me pade hai tumare babar,non-sarcastic
bas nam hi kafhi hai yogi adityanath raising_hands fire,non-sarcastic
rahul gandhi nani ghar jane jayega wahi se paisa layega tab na tumko de ga re nurkh jahil,sarcastic
Aur ham log ka khud ka property Hai ham log Kabhi government se Charity Nahin lete ham log Apna Khud Se pocket se kharcha Karte Hain,non-sarcastic
nuslim mahilaye jyda hi chapet me a gyi mataye netao ki bat me n aye,non-sarcastic
fire fire face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Dhruv rathee tune vote dala hey Kya chutiye skull rolling_on_the_floor_laughing,sarcastic
congress nhi jita hai abhi jitega tab na milega,sarcastic
"Andha Bhak, nafratti chintu, hate phellane walle rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing",non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face cross_mark cross_mark cross_mark,non-sarcastic
"laalacha buree balaa hotee hai ina mahilaaon ne paise ke laalacha men aake apanaa vaॉta kho diyaa aba paancha saala taka ye roda para aise hee paise maangatee rahegee, ye saba inhen pahale sochanaa chaahie ki jaba taka narendra modee jee bhaarata ke pradhaanamantree hain taba taka apanaa bhaarata surakshita hai index_pointing_up ,, jaya hinda jaya bhaarata maataa folded_hands",sarcastic
level sabke nikalenge lekin nikalega uske jo kharaa rahega face_with_tears_of_joy face_with_tears_of_joy,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy Babar Jaha ka tha vaha ja,sarcastic
enraged_face enraged_face mullaapremee kongresa enraged_face enraged_face,non-sarcastic
kya chutiya pah h yee media,sarcastic
aaap logon ko modi sarkar bahut buri hai es liye ap log congress ko vote diye the to ap congress party se jarur 8500 rs vasulie,non-sarcastic
tumhe toh saudi aur eeran nahi manta,non-sarcastic
Jay shree Ram triangular_flag triangular_flag triangular_flag sign_of_the_horns sign_of_the_horns sign_of_the_horns,non-sarcastic
oop valo.. naja a gya n... salo hijado,sarcastic
aaise board ko eendia se hatana chahiye...,non-sarcastic
nilega.....con dega moti rakam par pehle desh ko bikri karega face_with_tears_of_joy,sarcastic
jab kejriwal jail gya tha 2012 me yo cm nahi tha beta dhruv is always right,sarcastic
jye sri ram triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic
Tatto ke chakkar mai sab जगह दबा रहा है face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
बस निकल गई हवा face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy डोंगरी ऑफ मुंबई,non-sarcastic
Ekta kapoor is trying to contact to her face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Gravity ki ma ch*d do grinning_face_with_sweat check_mark_button,non-sarcastic
future kiska dekh rhe hai hum apna ya bjp leaders ka ..??,non-sarcastic
"Mai, meri family aur mere dost aur unki family bhi Modi ko vote inhi sab Jihadi act ko khatam karne k liye diye h... Congress ki maa ki... face_with_tears_of_joy",sarcastic
kaisa laga jit gaya nunawwar fire fire,sarcastic
He can destroy him in seconds pensive_face raising_hands,non-sarcastic
kisi ko beghar karoge to yehi hoga na.,non-sarcastic
Rathee said city CM. In 2012 he was not a CM. Go you get some knowledge,non-sarcastic
तु कुट कुट आय घातलीयास face_with_tears_of_joy,non-sarcastic
India India India India India India India India India India India enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
tulaa kitee janaannee paaheele aaheta aataan paryanta face_with_tears_of_joy,non-sarcastic
face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,non-sarcastic
anjanaa jee aapa sirfa bhaarata men boochada khaane banda karavaa deejie aura gaaoo.n cow maataa ko raashtramaataa kaa darjaa dilavaa deejie bjp se dhanyavaada flag_in_hole folded_hands,sarcastic
einstein ka brain nai yar...inka brain rakho sambhalkar....superb....fad diya puri tarh....sudhanshu ji tussi great ho,sarcastic
yana sulila tangayla pahije… enraged_face enraged_face enraged_face,non-sarcastic
"aakhira huaa kyaa hai ,puraa veediyo daalo , eka tukadaa nahee |",sarcastic
Why they did this to indian flag?,non-sarcastic
darr ki ma ki chuu moai skull rolling_on_the_floor_laughing,non-sarcastic
kuch nahi milega chinta mat karo,non-sarcastic
Bro kaha se late ho ase naam dhund kr face_with_tears_of_joy face_with_tears_of_joy,sarcastic
hum sath h owaisi sir ....,non-sarcastic
"maanusa tocha aahe , vichaara pana techa asanaara",non-sarcastic
Fir bhiii me kuchhh nhiii ukhad paya face_with_tears_of_joy,non-sarcastic
भाग गए फटाफट फटाफट फटाफट face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
ye nhi sudhrenge inhe bhgao desh se,non-sarcastic
tujhee kaaheecha chukee naahee tu galateena jhaalelee aulaada aahe tujhee garaja nasataanaa kelelee chuka tujhe aaee vadeela pashchaataapaata asateela aamhee hi sarvaata mothee chuka kelee face_with_tears_of_joy rolling_on_the_floor_laughing,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
Jo puch raha h woh khud nhi h face_with_tears_of_joy,non-sarcastic
hindustani hai tabhi tujhe haraya hai moai moai moai moai moai moai,non-sarcastic
Bc face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Tmlog ke sath thik hoo rha hai,non-sarcastic
𝚃𝚞𝚞𝚞 𝚔𝚞𝚝𝚎 𝚑𝚘𝚝𝚎 𝚖𝚐𝚐𝚐 𝚙𝚐 𝚕𝚎𝚟***,non-sarcastic
ina saba kaa ashikshita hone kaa jeemedaara kona hai ye savaala kaa javaaba jaba milegaa tabhee muslima samaaja isa desha vikasita hogaa kaa.ngresa ne inake dimaaga mai bahuta ja hara bharaa hain pichale kucha salee mai ise achchaa inakkee shikshaa para dhyaana dete backhand_index_pointing_left_light_skin_tone,sarcastic
yety loksabela hena tenchi jaga dakhava,non-sarcastic
munawar bhai winner trophy bane to sb ke ga**d jali rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
ध्रुव राठी - मैं इंडिया वापिस क्यू आया face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Inka toh safa chat ho gya skull_and_crossbones face_with_tears_of_joy grinning_face_with_sweat,non-sarcastic
Ek thappad pe bloody hell are you ka tone badal jaega,sarcastic
Mein hota toh Jaan de deta par chodta nahi in salo ko respect the women,non-sarcastic
Newton be like ‘ Me madhrchod hu rolling_on_the_floor_laughing face_with_tears_of_joy,non-sarcastic
sunna to padega na bhai kam. hi aisa kiye hay log sad_but_relieved_face,non-sarcastic
maga hilaa sodalee asatee kaa na...ne,sarcastic
"Ledy don bol ke sir pe mat chadhao inko ,, clapping_hands",sarcastic
bhaaee loga main to samajha naheen paa rahaa hoon kauna se chamache ke paasa bhejoon veediyo,non-sarcastic
Dar ki maa ki ch*t face_with_tears_of_joy rolling_on_the_floor_laughing moai skull,non-sarcastic
kida aahe deshaalaa laagalelee hee ....,non-sarcastic
"ਖਾਲਿਸ ਸਾ**, ਮਾਦ*** enraged_face enraged_face enraged_face cross_mark cross_mark",non-sarcastic
tamacha narne ki bajaye ticket.lanat h un leaders pr jinhone ghatiya aurat ko ticket diya .lanat waha k hinduo pr h,non-sarcastic
RIP : Physics face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Mountain dew dar ki maa ki chut rolling_on_the_floor_laughing skull,non-sarcastic
Bolte rahoo bhad me jaoo ham to abhi sare mandir lenge raising_hands,sarcastic
Congress Ak number ka jhuta sarkar hai Kuch nehi milega face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ab Ghara jao,sarcastic
aare bap paile sarkar to banne do baoliko,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic
aapni bahanon ke sath apni nan ki gand mar liya karo,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
naja kadun hichavar rep jhala tari challel pan hi parat ashi bolnar nay,non-sarcastic
aab pkdle kisi ek builder ko rolling_on_the_floor_laughing,sarcastic
hum hindu kaya kuch nahi kar sakte? relieved_face,non-sarcastic
Brahma bhagwan married his daughter Saraswati written in sraswatipurana what's yr take on this?,non-sarcastic
jab congress ki puri sarkar banti to yah sharte unhone rakhi thi sarkar ki bani nahin to yah sharten kahan se denge kya apne paise,sarcastic
Congress hatao hindu dharm bachao fire jai shree ram,sarcastic
Vote for BJP triangular_flag check_mark_button check_mark_button,non-sarcastic
He is talking about sitting cm . Andhbhakto,sarcastic
