Table 1,,,,
Comments,Sarcastic(s)/Non-sarcastic(ns),,,
kohli hai bhai kohli hai bura na mano holi hai . virat bhai congrats for winning again against pak . bharat mata ki jai,Ns,,,
bhai ab tu naye naye account bana ke sona ko pareshan karega !!!,Ns,,,
kamal karte ho salman ji ayeh bhi nahi..,S,,,
"kyonko agar ye 100% bolenge to log sochenge ki ye jhooth bol rahe hain, isliye 99.99 lol",Ns,,,
iske bina to jeewan adhura tha . . .,Ns,,,
hahaha.. kafi ojas hogaya tha,Ns,,,
"tumhara pyar na huwa vodafone 4g huwa, sala kabhi milta hi nahi.",S,,,
acche din a gaye,S,,,
agar ne is class me hoti to kissi b boy ko top na karnr deti . . . isme b toper me hi hoti . . . .,S,,,
ye aaaaptards ki harkat hai !!,Ns,,,
"yar, please yar aashwini. chal daru peete hai",Ns,,,
"New York! Achcha achcha, maine socha America se liya hoga",S,,,
yes man but apna gujara nahi hai is chalak dunia mein,S,,,
oosne bola apne man liya . kapil sharma ne proof diya apko aur chaiye .. aarmy ne #surgicalstrike ki apko saboot chaiye . oo need break,Ns,,,
aaaj ki duniya koi imandar nahi hai . jo khud kahta hai wo sabse bad a chor hai .,S,,,
"koi bhi colony mein ghusna ho toh sale puchte hai kahan jaoge? tell them a random number, b-25 ya g-305, ye jane denge andar",S,,,
No change in team hum to batting hi karege ... Are ye anushka kidhar hai .. #IndvsSA,S,,,
bhaiyoooo apnay apnay kam kerlo ... history won't be changed ....,S,,,
. shakahari hone ke liye vicharo ko bhi shakahari kare.. aaur han kal yoga zaroor kare..,S,,,
service tax badha diya sir ?? chalo jaise ap chaho !!!,S,,,
yeh dhoni kl rahul ko century nahi banane dega.,S,,,
ohh mujhe laga apki ho chuki hai,S,,,
grt step 4grt relation...nic job sir,NS,,,
ab tak untag nahi kiya!,S,,,
aab bihar me ayegi bahar #goodbyenitishkumar,NS,,,
RT : Shikher well played 100 not out .. gabbar abhi thokho ... #IndvsSA,NS,,,
"aab kya batayein, bhediyon par vishwas kiya ja raha hai, vishwasghaat toh hoga.",S,,,
"hell yea lmfaoo , &amp; see you tomorrow asia baby (;",NS,,,
par ap ati ho to bahar a jati hai twitter pe,S,,,
nora piya muh se bolat nahi. toh kahan se bolat hai?,S,,,
"main bahut chhota admi hoon, meri koi aukat nahi hai. degree bhi hum fake hi use karte hain.",S,,,
ami tumake bhalo bashi,NS,,,
kaha pe karinge baigan,NS,,,
salman bhai ...... i lovee uu tumharee liyeee jan bvi dee dengeee,NS,,,
aaaj harne wale hai,NS,,,
jo kahna tha so kahna tha,NS,,,
"Dhoni's captaincy was shit today. Jahan bhi maarte hai wahan fielders nahi hote, boundary chali jati hai.",S,,,
isi darr se khaya nahi maine,S,,,
chalk lane me kitni mehnat lgti h guddu se sikho yar . . . . . . . bda hard working boy h,S,,,
ram ram singha. kahan the ap?,NS,,,
monkey cap bhul gaye kya ?,S,,,
jiska koi nahi uska khuda hai,NS,,,
Waheeda Rehman is so cute in Ram Aur Shyam(1967) ! ðŸ˜,NS,,,
tujhe wo incident nahi pata urbansanyasi wala?,NS,,,
26 naarch ko ऑna eyara huaa thaa,NS,,,
"light nahi he ab bus aona name change kr k "" roshaan "" rakh leta hn .",S,,,
haha. nere mind me kuch aur hota hai likhta kuch aur hu,S,,,
daya pata lagao.. kuch to gadbad hai,S,,,
you won't be getting candy till monday . i am (by my own stupidity) a sick person right meow . . -,NS,,,
bhai week bada hi happening raha .. #bevkufbaba #dokhlam #pvsindhu .. though ham log hi bs thande pade rahe ..,S,,,
helmet agaya hai bahar. aafrica ki hogi ab har! #eendvssaa,S,,,
sare teacher kuch zyada hi masti karte hain . . . . :-p,S,,,
"salman ne kai bar kanoon toda hai , sharab peekar logo ki hatya ki hai , #salmanforrio ??",S,,,
sahi me bhai,NS,,,
bakwas polls ke sath yahin hota …,S,,,
haha thanks ab jyada change ka scope bhi nahi hai,S,,,
kuch bhi! lol,S,,,
ab se cricket se sanyaas for few years . .,NS,,,
"shahid aafridi se dar nahi lagta sab, oomesh yadav se lagta hai.",S,,,
sherni hai toh jungle mein jaye,S,,,
"When I was 1 year old My parents took me to watch Sanam Bewafa , this was my first film in cinema hall ( Kuch bhi ...",S,,,
"ye hai eendia ka tyohar !!\n\nrt ek taraf preity zinta ka pyar, dusri taraf sachin ka pyar......!!\n\n#neevskxeep",S,,,
"itte dino bad "" launcher "" paji dikhe",S,,,
paise ke bhakt ho tum,NS,,,
ap fenk ne mai powerful ki bat kar rahe ho kya ? result to yahi dikhata hai ! #sukmattack #trump #handmaidstale #nodicheatshimachal,S,,,
#eebleedgreen inshaaallaah aj hamaray fast bowlers kamal kar dikhayengay,NS,,,
bolo siyavar ramchandra ki jai..,NS,,,
"tuje badi jalan ho rahi #trump se "" aja main or tu ek photu khichwate ... ethasik hogi "" #nonalisa k bad ...",S,,,
:'( tu toh mat bol aise. yahan ek nahi patti hai.,S,,,
. jo joote polish karne diye the won kab lautayega?,S,,,
hi bhai.. aaap kese ho..?? aagar ra cmmnt padh rhe ho toh plz ek reply kar dena,NS,,,
"amazon: extra strength hair nutrient tablets , 60-tablets (packaging may vary) by viviscal 649 days in the top 1 . . . /UR",NS,,,
kejriwal the most currupted person in indian politics . . . is baar modi sarkar .,S,,,
q3 0:54 . eli manning pass intended for victor cruz intercepted by danny mccray at the dallas 35 returned for no gain . 1st &amp,NS,,,
"aaaj haldi-ram ki hai, parso saghai. tu ayega?",NS,,,
"bhai, theek hai tu?",NS,,,
"is awesome ! Better to watch in Hindi esp to listen to Nana Patekar as Shere Khan "" again "" ! Irrfan and Om Puri were too good !",NS,,,
yahan teri prashansa horahi hai bakwas na kar yar,S,,,
tumhe chhodkar? na baba na,NS,,,
zarurat se zyada rts mil gaye,S,,,
hahaha ..... anyone wud love to sponser you . Ek patak tweet gari herana,S,,,
sab ek hi jaisi lagti hain ab to. jaye to kaha jaye.,S,,,
"yesterday: talaq talaq talaq aabhi: qubool hai, qubool hai, qubool …",S,,,
"""aarey galti ho gayi. aagli bar tere se puch kar karunga. aab kya bhai se bat bhi nahi",S,,,
bachpan ka flash back kara dete ho,NS,,,
yunki party k liye to hum ready hain par kya karen nahi a sakte kyonki invitation sirf bhaiyo aur behno k liye hai.........,S,,,
sirf ji ki photo? tu kahan hai?,S,,,
ha ha hai,NS,,,
lol. yahan akar phir hair growth hui hai,S,,,
aaur agar apke support karne ka tarika yahi hai to ap to #jnoo ko bhi support karte honge 0 #jnoo #jnoosoo,S,,,
"tujhe sab pata hai, hai na?",S,,,
saturday rat ka jashn racha jaye.,NS,,,
"effat university wins the 1st "" p&amp;g's university challenge "" at the procter and gamble's university competition .",NS,,,
waise to sirf sonia/sisodia/sanjay ki hi sunte h par is bar ki sun li aur #aaugustawestland p muh kholdiya wah,S,,,
Sorry we are not for sale,NS,,,
mere liye toh papa ne stepny ke pichey special seat lagwayi thi,S,,,
4pm baje karenge . direct baat mere saath . this is what bogg bosss siad rightly,S,,,
aav tk advocates ko smajh nhi aya #gst kya h? aur ji bol rhe h ki #behtar n #saral #gst,S,,,
"bas tumne bol diya toh ye zaroor sare sununga, achha hi hoga",NS,,,
samaj nahi aya,NS,,,
fact of the day,NS,,,
kolkata main kam aise hi hota hai,NS,,,
# 4 baje ge aaj party abhi baki.wow,NS,,,
... qandeel baloch tum pareshan mat ho .. mat ho tum pareshan mei keh raha hune na tum shahid afridi ke leye pareshan mat ho,S,,,
haha.. thanks bhai,NS,,,
galat smiley ho gaya,NS,,,
"ye raeesi hai khandani, peele peele oh more jani",S,,,
neetron.. taj nahal se mera purana nata hai.. nein apne grahako ko sirf taj nahal chai pilata …,S,,,
aacha bhabhi ji ne bal color karwa liye ka?,S,,,
"haha darr lagta hai ajkal kuch bhi type karne se pehle, kaunse kone se outrage ayegi pata nahi. banate hai plan!",S,,,
aare u a mal ? ee mean girl ?,S,,,
ye apke writer ka reply tha.unhone accept kiya kiya hai aur kaha tha ki hata lenge,NS,,,
happy bday 'mera photo dikhao.. nahi ye achcha nahi hai.. delete..' bhai,S,,,
omm namah shivay . naha dipa @ lingaraj temple #bhubaneswar #nahashivratri,NS,,,
kejriwal : hum us runout ki cbee janch karwaengey ! #eendvspak #bleedblue,S,,,
aj to jitna hai .,NS,,,
"aamerican english bro, har roz kisi na kisi ko bolna padta hai",NS,,,
nodi ji ap age bado hum tumhare shath he..,NS,,,
"han toh, ajkal aise hi achhe tweets karne se rt nahi milti. zamana badal gaya hai",S,,,
"Waise bhi bhai tu ghar se parade ke liye nikalta..phir u-turn le leta.. RT Why no invite for R-Day parade, Kejriwal wonders",S,,,
ab mai wait kar raha hu ki wo chota sa farmer ( vadra ) kab sucide karega :/,S,,,
"aamit ""shahji haryana mein suraksha ki taraf dhyan dijiye. rape ke case bahut badh gaye hain. party ki image kharab ho rahi hai",S,,,
seedhe andar ao raja ??,S,,,
"#righttoprivacy ? natlab ab adhar mere mobile "" bank ac "" paan se delink kar doon ?",S,,,
lag toh aise hi raha hai,NS,,,
dil cheez kya hai ap kabhi whiskey peejiye,S,,,
zameer nam ki koi cheez toh hai hi nahin. poora gandh inhone hi badhaya hua hai.,S,,,
"a delhi, khilata hu",NS,,,
chalta hai dost,NS,,,
i still remember . . . during sharjah matches . . . . the scene was use to be the same sachin jab tak khel ra hai hilnaa mat,NS,,,
rt : kapoor and sons achachi film hai .. ek bar or dekhunga,NS,,,
mast h yaar . . . . i always wait for you next episode,NS,,,
"rt : aabhi to trailer release huva hai , asli picture abhi baki hai",S,,,
ye drishti aur shrishti ke handles bata,NS,,,
han ek pe ek daru bahot achhi cheez hai. happy hours!,S,,,
"""Bhagwan ke bharose mat baithiye, kya pata bhagwan hamare bharose baitha ho."" Faith doesn't, Manjhi moves mountains.",S,,,
bandh kab huwa tha?,NS,,,
nuje dekhne ke liye time nhi milta hai re . kya karu bata biddu tu bata ? office me kam bhi hai bole to,NS,,,
na news aur na logic bas bana diya hai khabaron ka bazar. #farzipatrakarravishkumar,S,,,
arre 14th thi na ghar wapasi? koi na call karta hu sham mein bat karte hai,NS,,,
chahiye shikshaa aura rojagaara| #badliyesarkarbadliyebihar,NS,,,
aur hath kaisa hai bhai. jyada bhar mat uthana. parineeti ke sath koi movie to nahi kar rahe na,S,,,
Bhai party to banti hai,NS,,,
kasle shabd vaparta tumhi. deva.,NS,,,
the great noel gallagher is about to hit the stage in st . paul . plenty of room here so we're 4th row center . plenty of room . pretty fired up,NS,,,
hahaha han bhai,NS,,,
babaji ko janamdin ki subhkamanayee.. khush raho.. aaabad raho.. dilli raho ya farukkhabad raho,NS,,,
there can be delay in god's home but no ignorance,NS,,,
khushi ke mare phula na sama raha …,NS,,,
"""kya kaha.. tum achche din bhi banate ho.. 2 lakh ka order le lo.. par unpe nade een eendia",S,,,
hahaha . . . acting tere bass ki bat nhi ! !,S,,,
hoti hai galati bhai. magar bawa bawa hai,NS,,,
Bhart ne toss jita h Match b jitengeee #IndvsPak,NS,,,
guddu bhai vo jo 26 january ko laddu miltey they uska kuch banao kabhi . . . vo telwaley moti bundi ke laddu . . . taste ab tak nahi bhoolta ),S,,,
jis thali me khaya usi me ched kiya #,S,,,
yanha kaunsi train khali chalti hai .,S,,,
"plz search google name of mukhtar abbas naqwi wife and his father in law name , sahnawaz husain wife also aankh khul jayegi . . .",S,,,
RT indiaforums : #MahaShivratri Celebration In Hum Hai Naa HumHainNaa_Sony SonyTV _kanwardhillon,NS,,,
#rahulgandhi ji #namonitish ne corruption ke against jake dhoka diya ya apne corruption ke sath rahkar janta ko 0 #biharwithtejashwi,S,,,
"yes, apna number ane wala hai",NS,,,
abhi 5 option nahi hai na. aab koi aur ayega hardy sandhu ko puchne ko,S,,,
khade hone ki seat nahi . . khade hone ki jagha mil jaye . . shabdawali sudharo . . . .,S,,,
"jabse #gst aya ""hai sabne restaurant mei khana shuru kr diya kyu ""behn ghar pe dal roti bhi nahi pakti tujhse ?",S,,,
:'( itni khushiyan mujhe bahot salon bad mili hai piyus bhai. eeloo :-*,NS,,,
"rt : _namashkar sir ramniwas ji + aall _sir bahut eentezar ke bad "" aaaâ€¦",NS,,,
friday- to jack in the box then party at her house . saturday- go to the park and live up the yolo life . sunday- watch movies c:,NS,,,
jo log apni thwacha ' ke karan #holi nahi kahelte unhe koi bata do ki beauty sirf skin deep hi hoti hai .,S,,,
jitna dimag nodi haters gst k joke banane mei laga rahe hain isse kam mei to gst hi samajh a jata. #gstforneweendia #gstforcommonnan #gst,S,,,
but ' khushi ' zaroor use karna ...... accha sound karta hai :-),ns,,,
cc sir ladki kashmiri bramhin hai.. ek teer do â€¦,s,,,
aadeeba... ye tune kya kiya..,s,,,
"""nein tumhare pyar me gadkari ji ke garden ki sabjiya kha sakta hu""#sanghiemo",s,,,
bihar mein bahar #badliyesarkarbadliyebihar,s,,,
bhai jab se wo chhod ke gayee hai.. tab se daru chhad hi nahi rahi,s,,,
rt : haahaahaa ..... odd_even ne to jaantaa kee hee lelee .. & swaaraaj bhee aacchaa neelaa deellee vaalo kaao ...,s,,,
haappy naahaasheevraatree jaaee bholenaath jaaee naaaa paarvaatee #hindus #hinduism,ns,,,
watching again #pckumar at aaaj bhi superhit hai #pckumar,ns,,,
tum itne durr ho phir bhi dil ke paas ho.,ns,,,
bura lagta hai jab necca nadina/vatican se compare hota hai.. kab tak tent house me rahenge ram lalla ?? aaaakheer kaabtaak ??,s,,,
cartoonist ne google se nikala hai prestige ka meaning(google prestige meaning and see for yourself),ns,,,
"once again .. tum mujhe wo add wali ladki ka number do "" mujhe shaq wo bhi #jio use kar rhi",s,,,
eeski bhi philum a ri kya ? …,s,,,
"gori teri ankhein kahein, rat bhar peeti rahi",s,,,
hehee.. bhai kidding.. nast lag raha hai,ns,,,
"maine mere phone camera se nikala hai ye pic, rajasthan",ns,,,
qayamat se qayamat tak me aaamir khan aur juhi chawla ko pyar hua tha.. kya hua ?? nare gaye na,s,,,
nodi ko gali diye bina nitish ji ka khana kaise hazam hoga unka #goodbyenitishkumar,s,,,
"mere zakhmon par namkeen hona hi tha toh hothon se laga lete, waise bhi chakna kam pad raha hai. #eershad",s,,,
3 sal ka anter accha swasth ma majbut baccha,ns,,,
salman you r being human love you bby..... mujhe tumara pyar chiya or kuch nhi... love you??????,s,,,
bhai 25 jagah bol chuke ho same bat,s,,,
damad ki bhi izzat nahi ki. eentolerance is rising. #eendvspak,s,,,
aaashirwad banaye rakhe _/\_,ns,,,
good morning pitaji . dhan dhan satguru tera hi aaasra need #blessingsofnsg,ns,,,
"#tripletalaq ke ""bad ""sir ab dahej ke against kuch kade kanoon ""banaiye pls address this problem.",ns,,,
koi fayda hai inko ye sab dikhane se????,ns,,,
nodi ji hamara hindustan ka nam sada ucha rakhna.jai bharat mata jai hind..,ns,,,
Sachin ke bina yeh world cup adhoora hai ! :| #missYouSachin,ns,,,
aab kaun karega aanhoni ko honi ? #dhoni #retirement #cricket,s,,,
"aja aja ab kaisa sharmana, dheere dheere se dil ko churana",ns,,,
deja vu hai. nark idhar tha... pichle sal bhi.,s,,,
sir ek plate kajal pakode dena.,s,,,
film ka story mast he aur aap bhi mast ho............,ns,,,
bhai... aaap ki original voice nhi hai..,ns,,,
share karo market mein naya aya hai,ns,,,
sabke sath chali jao.. bas hamare hi sath mat jan philum dekhne,s,,,
aaaj hoga #karn ka aaagaman #suryaputrakarn aadbudh show from #sonytv #karnrisestonight,ns,,,
aur ek majnoo ghayal,s,,,
kaun bole parents ko nahi hai interest unke bete mein toh bekar mein kyun dekho usse,s,,,
"matlab koi kuch bhi nikal sakta hai, maine toh woh bilkul nahi kaha",s,,,
bhagwan aisi girlfriend sabi ko de . . par start mujhse kare,s,,,
Don No. 1 to best hai wo aa rahi hoti to baat hi kya thi,ns,,,
ye aaiyena naaa wala character you will find in every school and college . har cheej me hoshiyari deta hai ye character :@ :@,s,,,
bhai tu odd day pe facebook kiya kar aur even par linkedeen …,s,,,
"gali dena kam kar diya hai maine yahan, warna ek badi wali zaroor deta, mauka bhi hai aur dastoor bhi, chutiye bhare hai",ns,,,
"Nice work brother , Hum sab me Gabbar hai !!",s,,,
hi sir aapne kaha tha remind kradana aautograph send karna hai so please send kardo .,ns,,,
ohohoohooo.. is level pe ane ke liye is sal ke end tak rukna hoga mujhe,ns,,,
tu theek hai na? rulayega kya?,ns,,,
karara jawab milega.. karara jawab milega..,ns,,,
nahi,ns,,,
kaisa hai bhai,ns,,,
woh sab theek hai magar tu kahan hai?,ns,,,
aaisay thorina hota hai,ns,,,
ye ek bar hi bolo kafi hai,s,,,
sbi exited h k pakistan harega ... aree ye koi nai bat h kya ... #eendvspak,s,,,
"i think tjey forgot to show song of Roja movie "" Bharat Hamko Jan se Pyara hai """,ns,,,
. chup ho,ns,,,
rt : challenge : eesse bura likh ke batao,s,,,
"So if you think relationships are just about spending money .,.,.. i am glad you don't have any Girlfriend .,.,",s,,,
aapne career ke shikhar dhawan par !!,s,,,
ek bar toh guddu ko bhi chalaney detey . . ya idhar bhi pair nahi pahunch rahe ?,s,,,
"raj thackeray: pay rs.5 crores karan johar: kabhi ye humse ladta hai kabhi jhagadta hai, koi pas iske na ana, ye ladka hai deewana.",ns,,,
where r uu...bhaiii ...plzz one rplyy mustt onlyy onee:-(,ns,,,
yar surname badal kar choonawala rakh …,s,,,
salman bhai jai ho. blessings to bajrangi bhaijann. ....,ns,,,
sarab nahi peeta main raviwar ko,ns,,,
eeshq wala || ~ ^å,ns,,,
"My ExRoomie & whenever I chk him on phone now . I remember "" Raj , naam to suna hi hoga "" ( Yes",s,,,
zinda hu yar kafi hai,s,,,
"hamare pas fruits khareedne ki haisiyat hai, zomato se khana order karte hai hum rs.400 ki, delivery boy ko rs.20. ye main gareeb ko de du",ns,,,
chicago: go see #lovesgotaholdonme #sat october 27th 7p at the #haroldwashingonculcntr 47th &amp,ns,,,
Believe na ho to wikipedia me Awards section padh le #ConfusionKaEnd #SRKDonates1crToChennai #ISupportDelhiOddEven,ns,,,
"hi, ee am a writer. hafte bhar se ghar par pani nahi aya hai, aur dadaji ka jhola lekar ghum raha hu, koi vada pav khila do.",ns,,,
bas sab khairiyat :-),ns,,,
kya mazzak karte ho,s,,,
"nisbah to butler: kuch acha sa khila do yar, har gaye! shoaib aakhter: tu rehem kha, rehem. oosi ke layak hai #aaoosvpaak",ns,,,
kaun hai?,ns,,,
shahrukh ki movies kabhi achi hoti hai?,s,,,
sadar pranam. su prabhat!,ns,,,
boondi k ladoo vala din,ns,,,
dollar gains on euro amid greek woes: new york - the euro sagged against the dollar on thursday as the revised g . . .,ns,,,
ladki gori honi chahiye chahe ladke ki shakal koyle jaisi ho. aassholes.,ns,,,
today: sefton v home 12noon - including president's day,ns,,,
gandi ladki. aabhi to tum 18 ki bhi nahi hui thik se !,s,,,
#eendvspak lagatar 6 #wc se tv todte a rahe h hahahaha ....,s,,,
saralta mein sachai,ns,,,
bhai tu marathi hai.. tu jake sairat dekh,s,,,
4 baje meri college mein class hai bhai jaan,ns,,,
lag raha* hai,ns,,,
"let the good times roll ! tomorrow is mardis gras at st . philip's , with the bob deangelis dixieland band and gumbo lunch . join us at 10:30 !",ns,,,
"""Hum Laye Hain Toofan Se Kashti Nikal Ke"" - Modi ""Hum to wapas toofan me le jaenge"" - Shatru #BiharKaJaichandShatrughan",s,,,
thanx salman bhai..love u forever,ns,,,
guddu india ka lucky charm hai,s,,,
#341 : Best part of the placement orientation was that hot Matki Chick . Really wanna hook up with her . Suggest a way .,ns,,,
inhe kaho hindi hi theek hai . . aise to guddu ki english aur bigad jayegi,s,,,
"aaankhon hi ankhon mein ishara hogaya, baithe baithe feer ka sahara hogaya?",s,,,
Main be-Car nahi hoon aise hi mat Thoko kuch bhi,ns,,,
#are wah !! ..... dharti ma ka yad ... supperb tu sawa sher h,ns,,,
aapake upar bharosa hai.. ..bhai! aaap koi galat kam nahi kar sakte.. .. !,sarcastic,,,
bhai wo i6 hoga,non-sarcastic,,,
wagh bakri chai is though. Add with chaayos Adrak Tulsi. Good taste.,non-sarcastic,,,
Koi accha contest b nahi jab free hote,sarcastic,,,
"no, soch saanjh ke keeyaa kaar. kaabhee vote naahee keeyaa electeeon ne?",non-sarcastic,,,
"lol! bura laga? sorry ok? but table aur chair ki fikrr karni chahiye, adkki mil jaye toh kam ayega!",sarcastic,,,
ha ha nain aisa kuch nahin hai,non-sarcastic,,,
bete jis tarah susu ka koi time nahi hota.. waise hi sly ka koi time nahi hota,non-sarcastic,,,
"neanwhile faridabadi , ah ! daily ka routine h , aj jogging karte hue jaunga .",sarcastic,,,
kuch bhi chalega,non-sarcastic,,,
damn . i thought i was the onlu one who did this,non-sarcastic,,,
#surgicalstrikes duniyan ne loha mana hai .. gadaro aur deshdrohio ki tolly me hahakar hai . aaur dusman muh chipa kar dar se saham gaya hai .,non-sarcastic,,,
"nujhe paid tweet karne hai, shadi ke paise ikatthe karne hai.",non-sarcastic,,,
aww my daddy is best too . . i love my paa . .,non-sarcastic,,,
rt : pakistan ke liye venue change hua nenu nahi .. nili har hi #eendvspak,non-sarcastic,,,
"nano-mere pas sarkar hai , pin stripe suit hai , india ke development ke plans hai . tere pas kya hai ? raga : mere pas holiday hai #whereeesrahul",non-sarcastic,,,
"playing all day to prep for tomorrow's concert at fort canning . go , baby , go go !",sarcastic,,,
bhai apne be j jan,non-sarcastic,,,
"chalo koi na hota hai, ladkon ko aise age ruka kar mat rakhna. ok?",non-sarcastic,,,
yahi hota hai,non-sarcastic,,,
guddu ek mahine bad a rha hai . . world cup ke liye kuch nahi kiya . . . . . . nalayak . . .,non-sarcastic,,,
wo to malyali hai,non-sarcastic,,,
bas maja ma. khushi ke ansu a rahe hai,non-sarcastic,,,
nakam mohabbat ki ag main jal rahi mahila aur yeh ashiq number 2,non-sarcastic,,,
"friday night hai, beer piyo apne ansoo nahi.",non-sarcastic,,,
choot ko kejri se compare karke choot ko gali na de,non-sarcastic,,,
319 Run To Bante Dikh Nai Rahe The ..,non-sarcastic,,,
hey bajrangbali bas aj ek reply mil jaye..,non-sarcastic,,,
koun kahta hai modi ji kam nahi kar rahe 4 mahine mein hi #trump ka replica bana diya .... #yogiaadityanath,non-sarcastic,,,
harry redknapp 2nd favourite at 7/4 to be next blackburn boss ! ! venkys please make this happen ! ! ! ! #makeredknapparover,sarcastic,,,
ab to tu ajkal pata nahi kaha gayab rehta hai,non-sarcastic,,,
suna hai ki shadi hone wali hai. kitne dil tootenge?,non-sarcastic,,,
salman ji apka favorite gaana konsa hai bajrangi bhaijan film ka?????,non-sarcastic,,,
ye ketu aur rajdeep rahu ?,non-sarcastic,,,
ambuja cement se chipka do gudu ko . .,non-sarcastic,,,
"dil mein apne nonday ka darr lekar jage ho, toh zinda ho tum.",non-sarcastic,,,
abe 3000 me lee hai maine,non-sarcastic,,,
eet ka jawab pathar,non-sarcastic,,,
"rt : gets up . voice from the lounge "" aaur dekho aik aur supporter jag gyi hai "" ðÿ trade_mark „ðÿ trade_mark „ðÿ trade_mark „ðÿ trade_mark „",non-sarcastic,,,
jb pehle hi pta hai ki ye tingu lofer hai . .,non-sarcastic,,,
baby ko sirf nalayak haramkhor ladke hi pasand hai.,non-sarcastic,,,
yea .. i can not disagree with the confession ..... and yes ... i was among the exceptions ..,non-sarcastic,,,
bhai iftar farty hai kya?,non-sarcastic,,,
ludo. kahan hai ajkal?,non-sarcastic,,,
"lol, ye kya hai?!",sarcastic,,,
aacha sila diya tune mere pyar …,non-sarcastic,,,
"ayye chupp tu, bhabhi hai teri",non-sarcastic,,,
ye sonia ji ki bahu hai,non-sarcastic,,,
"""aaaap jaisa koi mere zindagi mein aye toh jhand ho jaye"" - delhi chaps",non-sarcastic,,,
lekin chalk laya kaha se ?,non-sarcastic,,,
to ye tere chacha ne kiya hai ?,non-sarcastic,,,
garbage . . yar tussi har bar dil jeet lete ho kasam se . . kya mast reality har bar samne late ho . . . apni sari harkate yad a jati hai,non-sarcastic,,,
joog soona soona lage - sonam kapoor,non-sarcastic,,,
"Silent Message for all of you guys ,,,,,,,,, Hahhahaha AAP MLA Akhilesh Tripathi #Intolerance",non-sarcastic,,,
"RT : Anyone care ? The 3 Army jawans ambushed , killed by NSCN terrorists in Arunachal Pradesh today : Sanjiv Kumar Parmal Singh Guj",non-sarcastic,,,
dekh raha hoon ajkal ap bhi #nanmohansingh mode pe chale gaye hain 0,non-sarcastic,,,
police peecha kar rahi mera..,non-sarcastic,,,
"kuch na kar ek din, bohot bura hoga aj",non-sarcastic,,,
kisi ne bhi sweter kyu nahi pahna h itni sardi me ? ? :o,non-sarcastic,,,
not joking sach much taras ata hai,non-sarcastic,,,
. bhabhi eendia me apke sare dewar apko yad kar rahe hai..,non-sarcastic,,,
kab .. bataya bhi nahi,non-sarcastic,,,
lalu aur nitish dono ek hi sikke k 2 pahelu #nitishkanaklivikas,non-sarcastic,,,
"ghaseet ghaseet kar leke jao sabko snapchat par, waise bhi twitter zyada hi bhar gaya hai.",non-sarcastic,,,
hurt you? nahin bhai ap stud hai,non-sarcastic,,,
"bahot zor se food blogger banna hai, khane peene ke vande hai.",non-sarcastic,,,
yar itna dhansoo humor kaha se late ho . . . . .,non-sarcastic,,,
#CrackerNACrackKAR bolne wale ki baat mat sun,non-sarcastic,,,
o . . . bc . . . . bhai purani sari yadein taza karr di rofl ! !,sarcastic,,,
