Original_Comment,Cleaned_Comment,Transliterated_Comment
"Dhyan toh tum bhatka rahe the logo ka, kya hi jarurat thi ye sab karne ki, and ab jakar khud ko bachao, yaha video banane se kuch nahi honewala. You deserve it💯","Dhyan toh tum bhatka rahe the logo ka, kya hi jarurat thi ye sab karne ki, and ab jakar khud ko bachao, yaha video banane se kuch nahi honewala. You deserve it hundred_points","dhyan toh tum bhatka rahe the logo ka, kya hi jarurat thi ye sab karne ki, and ab jakar khud ko bachao, yaha video banane se kuch nahi honewala. you deserve it hundred_points"
April fool banaya 😂😂 wo bhi June ke mahine me✅,April fool banaya face_with_tears_of_joy face_with_tears_of_joy wo bhi June ke mahine me check_mark_button,April fool banaya face_with_tears_of_joy face_with_tears_of_joy wo bhi June ke mahine me check_mark_button
"Sath me Kashi aur Mathura ke be bta ke jana,","Sath me Kashi aur Mathura ke be bta ke jana,","sath me kashi aur nathura ke be bta ke jana,"
Hai bhagwan 😂😂😂😂ye kya kehe raha hai yr,Hai bhagwan face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ye kya kehe raha hai yr,Hai bhagwan face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ye kya kehe raha hai yr
Aapko Kisne roka hai aapke liye 24 ghante Suvidha uplabdh hai,Aapko Kisne roka hai aapke liye 24 ghante Suvidha uplabdh hai,aaapko kisne roka hai apke liye 24 ghante suvidha uplabdh hai
Mene yahi dekh ne keliye 249 ka recharge karvaya hai ✅,Mene yahi dekh ne keliye 249 ka recharge karvaya hai check_mark_button,nene yahi dekh ne keliye 249 ka recharge karvaya hai check_mark_button
Uncle be like maut se hum nahi dar te maut humse dar te he,Uncle be like maut se hum nahi dar te maut humse dar te he,ooncle be like maut se hum nahi dar te maut humse dar te he
मेरा 1 सावल हसदेव जंगल छत्तीसगढ़ रिपोर्ट नहीं कर रहे हो मैडम 👏👏👏,मेरा 1 सावल हसदेव जंगल छत्तीसगढ़ रिपोर्ट नहीं कर रहे हो मैडम clapping_hands clapping_hands clapping_hands,meraa 1 saavala hasadeva jangala chatteesaga.dha riporta naheen kara rahe ho maidama clapping_hands clapping_hands clapping_hands
Hay bai la kahi aakal ahe ka kashalrahte mg bharta madhe pathava hila Pakistan madhe,Hay bai la kahi aakal ahe ka kashalrahte mg bharta madhe pathava hila Pakistan madhe,hay bai la kahi akal ahe ka kashalrahte mg bharta madhe pathava hila pakistan madhe
To ayodhya mein jo garbari hui hai....uski wajah yehi hai.......waah re jaanta,To ayodhya mein jo garbari hui hai....uski wajah yehi hai.......waah re jaanta,to ayodhya mein jo garbari hui hai....uski wajah yehi hai.......wah re janta
🤣🤣🤣🤣🤣🤣🤣,rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing
"ही रांड हे रांड,,, आता परत इनी सगळ्या प्रकारचे टोपला भर केळी घेतली असतील आत","ही रांड हे रांड,,, आता परत इनी सगळ्या प्रकारचे टोपला भर केळी घेतली असतील आत","hee raanda he raanda,,, aataa parata inee sagalyaa prakaarache topalaa bhara kelee ghetalee asateela aata"
Haram ke jano khalistaniyo khali jamir,Haram ke jano khalistaniyo khali jamir,haram ke jano khalistaniyo khali jamir
Dhuru rathee ke kitne baap 💀🗿🗿💀💀,Dhuru rathee ke kitne baap skull moai moai skull skull,dhuru rathee ke kitne bap skull moai moai skull skull
Jerman shepherd ki maa ki chut,Jerman shepherd ki maa ki chut,jerman shepherd ki ma ki chut
"Yahi to Lokpal kejriwal lana chahta tha, uspe hi lag gaya 😂","Yahi to Lokpal kejriwal lana chahta tha, uspe hi lag gaya face_with_tears_of_joy","Yahi to Lokpal kejriwal lana chahta tha, uspe hi lag gaya face_with_tears_of_joy"
😡😡😡😡😡😡😡🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face India India India India India,enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face India India India India India
Proud to be a hindu🚩❤️ @arpit_seth00,Proud to be a hindu triangular_flag red_heart,Proud to be a hindu triangular_flag red_heart
😡😡😡😡😡😡😡😡❌❌❌❌❌,enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face cross_mark cross_mark cross_mark cross_mark cross_mark,enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face cross_mark cross_mark cross_mark cross_mark cross_mark
ये बाई खरा काय ते आधी माहिती करून घे. गडद काळाकुटअंधारात राहू नका,ये बाई खरा काय ते आधी माहिती करून घे. गडद काळाकुटअंधारात राहू नका,ye baaee kharaa kaaya te aadhee maahitee karoona ghe. gadada kaalaakutandhaaraata raahoo nakaa
Flash quit his job after this,Flash quit his job after this,Flash quit his job after this
Hicha tondat dya re 🤬🤬😡😡,Hicha tondat dya re face_with_symbols_on_mouth face_with_symbols_on_mouth enraged_face enraged_face,Hicha tondat dya re face_with_symbols_on_mouth face_with_symbols_on_mouth enraged_face enraged_face
Mountain Dew- dar ki ma ki chut 🗿,Mountain Dew- dar ki ma ki chut moai,nountain dew- dar ki ma ki chut moai
Jiske saath uthna sona khana pine jaati haii nich soch bhari iske dimag me converted hai yeh naam naa dekho kaam bata rha hai ki kaha se he yeh @sayanigh,Jiske saath uthna sona khana pine jaati haii nich soch bhari iske dimag me converted hai yeh naam naa dekho kaam bata rha hai ki kaha se he yeh,jiske sath uthna sona khana pine jati hai nich soch bhari iske dimag me converted hai yeh nam na dekho kam bata rha hai ki kaha se he yeh
😂😂 wa wa 🤣 achi bat hai tum logo k liye😂,face_with_tears_of_joy face_with_tears_of_joy wa wa rolling_on_the_floor_laughing achi bat hai tum logo k liye face_with_tears_of_joy,face_with_tears_of_joy face_with_tears_of_joy wa wa rolling_on_the_floor_laughing achi bat hai tum logo k liye face_with_tears_of_joy
🤣🤣🤣or banao 😂😂,rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing or banao face_with_tears_of_joy face_with_tears_of_joy,rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing or banao face_with_tears_of_joy face_with_tears_of_joy
Heart touching video ❌Kidney touching video ✅🤣,Heart touching video cross_mark Kidney touching video check_mark_button rolling_on_the_floor_laughing,Heart touching video cross_mark Kidney touching video check_mark_button rolling_on_the_floor_laughing
Rande ahe ti😂😂😂😂,Rande ahe ti face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,Rande ahe ti face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
@khal___73 bhava tas tar mag Dhruv Rathee la pan Jail madhe takayala pahije pan Sarkar chi Gand fatate 😂😂😂😂😂,bhava tas tar mag Dhruv Rathee la pan Jail madhe takayala pahije pan Sarkar chi Gand fatate face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,bhava tas tar mag Dhruv Rathee la pan Jail madhe takayala pahije pan Sarkar chi Gand fatate face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
Pelvish ky time py  Kahan tha tu kendu,Pelvish ky time py Kahan tha tu kendu,pelvish ky time py kahan tha tu kendu
@randomsena 😢😢😢😢😢😢,crying_face crying_face crying_face crying_face crying_face crying_face,crying_face crying_face crying_face crying_face crying_face crying_face
Sb k sb desh se bhr niklege y muslim agr iski bt suni to😂,Sb k sb desh se bhr niklege y muslim agr iski bt suni to face_with_tears_of_joy,Sb k sb desh se bhr niklege y muslim agr iski bt suni to face_with_tears_of_joy
Don't worry abki baar 400 paar 🚩,Don't worry abki baar 400 paar triangular_flag,don't worry abki bar 400 par triangular_flag
@zoi_ansari971623  good question🙋🔥🔥👏👏👏👏😂😂😂,good question person_raising_hand fire fire clapping_hands clapping_hands clapping_hands clapping_hands face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,good question person_raising_hand fire fire clapping_hands clapping_hands clapping_hands clapping_hands face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
In jaiso ki waja se hi population badhi jai ja Rahi fr log bolte hai unemployment hai 💀bhancho itne logo ko palte rahe ge free me to vikas kya dusra Desh loot kr kre ge 💀💀💀🐻,In jaiso ki waja se hi population badhi jai ja Rahi fr log bolte hai unemployment hai skull bhancho itne logo ko palte rahe ge free me to vikas kya dusra Desh loot kr kre ge skull skull skull bear,een jaiso ki waja se hi population badhi jai ja rahi fr log bolte hai unemployment hai skull bhancho itne logo ko palte rahe ge free me to vikas kya dusra desh loot kr kre ge skull skull skull bear
Apni Aulaad ko bolna gaand jalate rehna😂😂😂,Apni Aulaad ko bolna gaand jalate rehna face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,Apni Aulaad ko bolna gaand jalate rehna face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
Pagl log aane too doo sbb trf 😡 unpr fek video MTT bnaoo smzeee,Pagl log aane too doo sbb trf enraged_face unpr fek video MTT bnaoo smzeee,pagl log ane too doo sbb trf enraged_face unpr fek video ntt bnaoo smzeee
salute madam❌oh sorry salute aunty😂😂✅,salute madam cross_mark oh sorry salute aunty face_with_tears_of_joy face_with_tears_of_joy check_mark_button,salute madam cross_mark oh sorry salute aunty face_with_tears_of_joy face_with_tears_of_joy check_mark_button
🤣🤣🤣🤣 वाह क्या सोच हैं रे 'तेरी,rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing वाह क्या सोच हैं रे 'तेरी,rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing वाह क्या सोच हैं रे 'तेरी
सुधांशु sir पूरा गूगल और कंप्यूटर है कुछ भी पूछो पूरा पोल खोल देते है 👌👌👌,सुधांशु sir पूरा गूगल और कंप्यूटर है कुछ भी पूछो पूरा पोल खोल देते है OK_hand OK_hand OK_hand,sudhaanshu sir pooraa googala aura kanpyootara hai kucha bhee poocho pooraa pola khola dete hai ok_hand ok_hand ok_hand
Proud I am hindu🚩🚩🚩,Proud I am hindu triangular_flag triangular_flag triangular_flag,proud ee am hindu triangular_flag triangular_flag triangular_flag
Are bhai vo jeeta hi kaha hai jo dega khata jhat 😡😡,Are bhai vo jeeta hi kaha hai jo dega khata jhat enraged_face enraged_face,aare bhai vo jeeta hi kaha hai jo dega khata jhat enraged_face enraged_face
Jay shree ram🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩,Jay shree ram triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,jay shree ram triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag
Randi ki olad. ✅✅✅,Randi ki olad. check_mark_button check_mark_button check_mark_button,randi ki olad. check_mark_button check_mark_button check_mark_button
Ab kya hosakta did 😂😂😂,Ab kya hosakta did face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,Ab kya hosakta did face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
German Shepherd for a reason😂,German Shepherd for a reason face_with_tears_of_joy,German Shepherd for a reason face_with_tears_of_joy
Boys ses : Hut Motherchod 😂,Boys ses : Hut Motherchod face_with_tears_of_joy,Boys ses : Hut Motherchod face_with_tears_of_joy
Was Nehru on some drugs when he passed waqf act? 😳,Was Nehru on some drugs when he passed waqf act? flushed_face,Was Nehru on some drugs when he passed waqf act? flushed_face
@aryan1001k Jaa bhai tu bhi line laga le khata😂 khat pasi lene k liye,Jaa bhai tu bhi line laga le khata face_with_tears_of_joy khat pasi lene k liye,Jaa bhai tu bhi line laga le khata face_with_tears_of_joy khat pasi lene k liye
Tu bhi marega owaisi ruk Tera beta b ram ram bolega,Tu bhi marega owaisi ruk Tera beta b ram ram bolega,tu bhi marega owaisi ruk tera beta b ram ram bolega
Kidhar mil rahi hai form idhar mil raha hai form,Kidhar mil rahi hai form idhar mil raha hai form,kidhar mil rahi hai form idhar mil raha hai form
"Kaahe,,,,,sudhanshu uncle ko ungli krte ho","Kaahe,,,,,sudhanshu uncle ko ungli krte ho","kahe,,,,,sudhanshu uncle ko ungli krte ho"
Bhurkha boor me dalo or mera lauda muha me,Bhurkha boor me dalo or mera lauda muha me,bhurkha boor me dalo or mera lauda muha me
Ek kam kr bhai kalte nahi,Ek kam kr bhai kalte nahi,ek kam kr bhai kalte nahi
😡😡😡😡😡😡🇮🇳✅,enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face India check_mark_button,enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face India check_mark_button
Nheru ki maa ka bhosda 💀,Nheru ki maa ka bhosda skull,nheru ki ma ka bhosda skull
Dhruv Rathee ❌Aam admi party worker ✅,Dhruv Rathee cross_mark Aam admi party worker check_mark_button,Dhruv Rathee cross_mark Aam admi party worker check_mark_button
Dhruv Rathi sirf BJP ke hi piche pada hai usko khatm karne ke liye😂,Dhruv Rathi sirf BJP ke hi piche pada hai usko khatm karne ke liye face_with_tears_of_joy,Dhruv Rathi sirf BJP ke hi piche pada hai usko khatm karne ke liye face_with_tears_of_joy
Kuch bolungi vivad ho jyega .....,Kuch bolungi vivad ho jyega .....,kuch bolungi vivad ho jyega .....
Aunty be like Newton ki maa ka bhosda,Aunty be like Newton ki maa ka bhosda,aaunty be like newton ki ma ka bhosda
Flash man 😂 कुछ तो कमी है editting me 😅😆,Flash man face_with_tears_of_joy कुछ तो कमी है editting me grinning_face_with_sweat grinning_squinting_face,Flash man face_with_tears_of_joy कुछ तो कमी है editting me grinning_face_with_sweat grinning_squinting_face
36 nakhre vali chinal aali 😂😂🫵,36 nakhre vali chinal aali face_with_tears_of_joy face_with_tears_of_joy index_pointing_at_the_viewer,36 nakhre vali chinal aali face_with_tears_of_joy face_with_tears_of_joy index_pointing_at_the_viewer
Khalistan❌ In your dreams✅,Khalistan cross_mark In your dreams check_mark_button,Khalistan cross_mark In your dreams check_mark_button
Tum dono ki ma ki chut,Tum dono ki ma ki chut,tum dono ki ma ki chut
🤣🤣👉👉😂😂,rolling_on_the_floor_laughing rolling_on_the_floor_laughing backhand_index_pointing_right backhand_index_pointing_right face_with_tears_of_joy face_with_tears_of_joy,rolling_on_the_floor_laughing rolling_on_the_floor_laughing backhand_index_pointing_right backhand_index_pointing_right face_with_tears_of_joy face_with_tears_of_joy
Comman man ❌ Ganga Man✅,Comman man cross_mark Ganga Man check_mark_button,Comman man cross_mark Ganga Man check_mark_button
Baccha kya wha maa chuda rha tha😂🤣,Baccha kya wha maa chuda rha tha face_with_tears_of_joy rolling_on_the_floor_laughing,Baccha kya wha maa chuda rha tha face_with_tears_of_joy rolling_on_the_floor_laughing
Ab toh Kashi me bhi mandir banne woli hai 😍,Ab toh Kashi me bhi mandir banne woli hai smiling_face_with_heart-eyes,Ab toh Kashi me bhi mandir banne woli hai smiling_face_with_heart-eyes
Are Haad kutry. Tya je kahi bolalya te kharokharach ahe,Are Haad kutry. Tya je kahi bolalya te kharokharach ahe,aare had kutry. tya je kahi bolalya te kharokharach ahe
When Death is on Holiday ✅😂,When Death is on Holiday check_mark_button face_with_tears_of_joy,When Death is on Holiday check_mark_button face_with_tears_of_joy
याला म्हणतात झ.......त गाढव ऊरावर घेन 😅,याला म्हणतात झ.......त गाढव ऊरावर घेन grinning_face_with_sweat,yaalaa mhanataata jha.......ta gaadhava ooraavara ghena grinning_face_with_sweat
Aap Ka modi na be yahi Bola Thai bad ma jab jeeta to Bola who aak jomla thai,Aap Ka modi na be yahi Bola Thai bad ma jab jeeta to Bola who aak jomla thai,aaap ka modi na be yahi bola thai bad ma jab jeeta to bola who ak jomla thai
15Lakh Ke Jumle Ka to Bol Godi Media😂,15Lakh Ke Jumle Ka to Bol Godi Media face_with_tears_of_joy,15Lakh Ke Jumle Ka to Bol Godi Media face_with_tears_of_joy
Sudhanshuji ke aage koi bol sakata hain kya.. 🔥🔥,Sudhanshuji ke aage koi bol sakata hain kya.. fire fire,sudhanshuji ke age koi bol sakata hain kya.. fire fire
ग्रेविटी की माँ का भो**ड़ा 😂,ग्रेविटी की माँ का भो**ड़ा face_with_tears_of_joy,ग्रेविटी की माँ का भो**ड़ा face_with_tears_of_joy
Mountain dew dar ki ma ki chut💀🔥🤣,Mountain dew dar ki ma ki chut skull fire rolling_on_the_floor_laughing,Mountain dew dar ki ma ki chut skull fire rolling_on_the_floor_laughing
🤣🤣🤣🤣🤣🤣 aur de lo en logo ko vote 😂😂😂😂😂😂😂,rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing aur de lo en logo ko vote face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing aur de lo en logo ko vote face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
Vooo ntha tyming just miss......slow motionill vanilllayirunegill ippo vadi ayenney😂🤭🥺,Vooo ntha tyming just miss......slow motionill vanilllayirunegill ippo vadi ayenney face_with_tears_of_joy face_with_hand_over_mouth pleading_face,Vooo ntha tyming just miss......slow motionill vanilllayirunegill ippo vadi ayenney face_with_tears_of_joy face_with_hand_over_mouth pleading_face
Ye wo sardar hai jis ne her month kuch paise ke liye apn dhram bdal lete hai,Ye wo sardar hai jis ne her month kuch paise ke liye apn dhram bdal lete hai,ye wo sardar hai jis ne her month kuch paise ke liye apn dhram bdal lete hai
Bhai ek munawar jeeta h ye sab log ki kese jal rhi h..,Bhai ek munawar jeeta h ye sab log ki kese jal rhi h..,bhai ek munawar jeeta h ye sab log ki kese jal rhi h..
Dhruv bhai underground ho jao 💀,Dhruv bhai underground ho jao skull,dhruv bhai underground ho jao skull
Char chawanni ghode pe age tum log bol hindu bhai😂😂😂😂😂😂😂,Char chawanni ghode pe age tum log bol hindu bhai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,Char chawanni ghode pe age tum log bol hindu bhai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
Fate huye kondam ka natija 😂😂,Fate huye kondam ka natija face_with_tears_of_joy face_with_tears_of_joy,Fate huye kondam ka natija face_with_tears_of_joy face_with_tears_of_joy
@mnn_bohra chinh thoda ling se milta julta hai...😂😂,chinh thoda ling se milta julta hai... face_with_tears_of_joy face_with_tears_of_joy,chinh thoda ling se milta julta hai... face_with_tears_of_joy face_with_tears_of_joy
Ye Bangladesh 🇧🇩 nahi hai 🙂👍,Ye Bangladesh Bangladesh nahi hai slightly_smiling_face thumbs_up,Ye Bangladesh Bangladesh nahi hai slightly_smiling_face thumbs_up
Ab isse bhi fatne lagi 😂😂😂😂,Ab isse bhi fatne lagi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,Ab isse bhi fatne lagi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
I am a Sikh and a Khalistani but this time Sikhs are totally wrong .❌,I am a Sikh and a Khalistani but this time Sikhs are totally wrong . cross_mark,I am a Sikh and a Khalistani but this time Sikhs are totally wrong . cross_mark
I watched elivish's video about dhruv rathi how he explained everything about Rathi and told us to cross check everything man I’m shocked Rathi is connected with so many anti India elements and working with them,I watched elivish's video about dhruv rathi how he explained everything about Rathi and told us to cross check everything man I’m shocked Rathi is connected with so many anti India elements and working with them,I watched elivish's video about dhruv rathi how he explained everything about Rathi and told us to cross check everything man I’m shocked Rathi is connected with so many anti India elements and working with them
Elvish pe tu kuch nhi bola 😂,Elvish pe tu kuch nhi bola face_with_tears_of_joy,Elvish pe tu kuch nhi bola face_with_tears_of_joy
Tu bahut  bolta he dhruv Kam bol 4th June ke baad bolna chhod dega tujhe  to sabko  block  kar dena  chayie 😂,Tu bahut bolta he dhruv Kam bol 4th June ke baad bolna chhod dega tujhe to sabko block kar dena chayie face_with_tears_of_joy,Tu bahut bolta he dhruv Kam bol 4th June ke baad bolna chhod dega tujhe to sabko block kar dena chayie face_with_tears_of_joy
😡 Wakeboard ko hi jaata dena chahiye,enraged_face Wakeboard ko hi jaata dena chahiye,enraged_face wakeboard ko hi jata dena chahiye
India is a secular state. Jitna jaano utna yeh sentence joke banta jaata hai.,India is a secular state. Jitna jaano utna yeh sentence joke banta jaata hai.,eendia is a secular state. jitna jano utna yeh sentence joke banta jata hai.
Uski sarkar bani kaha hai jo wo dega,Uski sarkar bani kaha hai jo wo dega,ooski sarkar bani kaha hai jo wo dega
Yeh act bhi hat jayega wait karo,Yeh act bhi hat jayega wait karo,yeh act bhi hat jayega wait karo
हिच्यावर रोज 100 जन उडवायला पाहिजेत राव,हिच्यावर रोज 100 जन उडवायला पाहिजेत राव,hichyaavara roja 100 jana udavaayalaa paahijeta raava
Hi aahe zawtadi Bai hi kuna kuna Khali  falali hilacha nasel  mahit 😂😂,Hi aahe zawtadi Bai hi kuna kuna Khali falali hilacha nasel mahit face_with_tears_of_joy face_with_tears_of_joy,Hi aahe zawtadi Bai hi kuna kuna Khali falali hilacha nasel mahit face_with_tears_of_joy face_with_tears_of_joy
Toh sherni ne kya ukhaad liya,Toh sherni ne kya ukhaad liya,toh sherni ne kya ukhad liya
Shukriya sad wale bhosdi wala Thodi bahan Ko Chod donon ko bahan ko Chodunga pakad ke bhosdi wale ko Hamare jhande Mila Diya Hai🇮🇳😡😡😡🚩🚩🚩🚩🚩🚩,Shukriya sad wale bhosdi wala Thodi bahan Ko Chod donon ko bahan ko Chodunga pakad ke bhosdi wale ko Hamare jhande Mila Diya Hai India enraged_face enraged_face enraged_face triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,shukriya sad wale bhosdi wala thodi bahan ko chod donon ko bahan ko chodunga pakad ke bhosdi wale ko hamare jhande nila diya hai eendia enraged_face enraged_face enraged_face triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag
झवाडे काय लायकी ये भेंचोद तुझी चिन्नाल रंड्या बऱ्या तुझ्या समोर आईघाले धंद्या वर बसायच्या लायकी ची ठेवायच नाही तुला समोर आल्यावर तुझ्या पुच्ची त आमच्या मराठ्याचा बुल्लाघालून तुझी पुच्ची सोलून झवली पाहिजे झवाडे रामाचा नाव नको घेऊ उलट करू करू झवल तुला चिन्नाल 🤬🙌,झवाडे काय लायकी ये भेंचोद तुझी चिन्नाल रंड्या बऱ्या तुझ्या समोर आईघाले धंद्या वर बसायच्या लायकी ची ठेवायच नाही तुला समोर आल्यावर तुझ्या पुच्ची त आमच्या मराठ्याचा बुल्लाघालून तुझी पुच्ची सोलून झवली पाहिजे झवाडे रामाचा नाव नको घेऊ उलट करू करू झवल तुला चिन्नाल face_with_symbols_on_mouth raising_hands,jhavaade kaaya laayakee ye bhenchoda tujhee chinnaala randyaa baryaa tujhyaa samora aaeeghaale dhandyaa vara basaayachyaa laayakee chee thevaayacha naahee tulaa samora aalyaavara tujhyaa puchchee ta aamachyaa maraathyaachaa bullaaghaaloona tujhee puchchee soloona jhavalee paahije jhavaade raamaachaa naava nako gheoo ulata karoo karoo jhavala tulaa chinnaala face_with_symbols_on_mouth raising_hands
Proud to be hindu🚩🚩🚩🚩🚩,Proud to be hindu triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,proud to be hindu triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag
Hijre bhai sorry 😐😐 bhai log up badi walon ko trff se,Hijre bhai sorry neutral_face neutral_face bhai log up badi walon ko trff se,Hijre bhai sorry neutral_face neutral_face bhai log up badi walon ko trff se
