comment,label
Please follow & ye log free mein daaru pilaate hai. #AaiShappath,sarcastic
ye kya hai?,non_sarcastic
har aur jeet to khel ka hissa hai. ye wala bahut din taklif dega wo kissa hai.,sarcastic
hamari kashti wahan doobi jahan pani kam tha,sarcastic
abhi bhi hu,non_sarcastic
mera motive kuch aur tha,non_sarcastic
err ye le ek aur.,non_sarcastic
guru ji ko pehchanne se inkar karne wale logon ko pakistani visa ke sath passport muft diya jaye. pranam.,sarcastic
"yar, koi ye bata do ke yeh ladki hai …",sarcastic
. han khush ho ja pakistani,sarcastic
_/\_ seer. rulaoge kya?,sarcastic
eendia aur sri lanka ek hi hai sir,sarcastic
ultimate yarrr . . . . just love it,non_sarcastic
eesee ko bulao vote dene ke liye,sarcastic
"bas aise hi reviews ki zaroorat hai, kafi protsahan milta hai in baton se.",sarcastic
"sahi hai, bada admi hai tu. kya chal raha hai? kab milna?",sarcastic
ye bohot pehle ho chuka hai …,non_sarcastic
salmannnnn aa intezar idhar ? tere liye ?,sarcastic
arey kabhi kabhi toh ap dhang ki bat karte ho,sarcastic
hahaha.. bhai shave kar lena,sarcastic
mujhe to bas ek tera sahara hai..,sarcastic
haha.. natlab ab date yad dilaoge,sarcastic
khusi hui tumhara janamdin aya,sarcastic
use to gate se bahar hote hi utarna compulsory tha . . .,sarcastic
kahi rajnikant to nhi tha . .,sarcastic
man hi nahi rahe hai,non_sarcastic
keerthi ! lets open a ngo together ! toote dil ke marezon ke liyea,sarcastic
india kbhi bhi china ko peeeche nhi kr paega.....,non_sarcastic
That Spin ! Ravi Ashwin . Kuch nai ho sakta bhai Africa ka World Cups mei .. #Mauka #IndvsSA #cwc15,sarcastic
t . v . off guddu: mummy . . . . . khane me kya hai .,sarcastic
chalk churane ka bhi apna maza tha . .,non_sarcastic
"ji bilkul, iss bat ka toh inkar nahi kar sakte.",non_sarcastic
"sabko bacha kaho,sirf mere ilawa ok",sarcastic
ek nahi mili ab tak </3,sarcastic
mujhe bhi dena zara 5 rs ke.. bhookh lagi hai,sarcastic
"bahut badiya , bahut hi unda , kya bat , kya bat . dil jit liya tune toh . . .",sarcastic
Everyone on TL is thanking their Moms.. Bhai aiyaashi karne ke paise to Papa hi dete hai na.. #ThankYouPapa,sarcastic
tanmay jail ko hi kha jata,non_sarcastic
"Shakti bechara kabhi kuch bolta nahi hai, he is like a husband eve n before marriage.",sarcastic
phone dekhne mein taqleef hai kya?,sarcastic
bas badiya sab.. oopar wale ka sahara hai.. aabhi chai pee rahe hai,sarcastic
zamana kharab hai.. shine lajawab hai: … #laggayivat shine,sarcastic
"hello sadu sahab (senior bro in law), ki hal chal?",non_sarcastic
jabatdast dost . . . . 1 page me rula diya yaar . . . . . kamaal hai . . . . superb nd hatss off to ur crearivity . . .,sarcastic
mujhe laga sab bhool gaye honge #sentee,sarcastic
salman khan kaha ho?,sarcastic
pagal aurat hai,sarcastic
atleast jise thand lagti ho use de diya karo,non_sarcastic
"hii sir , apse milne ka sirf ek mauka chahta hu. ....",non_sarcastic
"... abhi aayega rukiye "" : Once upon a time there was a hashtag #RailBudget2015 """,sarcastic
bhai ajkal sab ke pas 4-4 car hai.. aab to kisi series me helicopter gift hoga tab maza ayega,sarcastic
aaaj eendrani ka kitne naye patiyo ka pata chala.. koi update karega?,sarcastic
"kuch nahi, ek tweet padh ke gussa a gaya :/",sarcastic
cheapest nahi pucha. Best pucha hai.,sarcastic
ye dekh lo dooneeyaa …,sarcastic
aaaj kal yeh hi bikta hai bhai!,non_sarcastic
dhoni bhai ek din ball tod hi denge!,sarcastic
Bhai kuch kal ke liye bhi chhod de.. RT #KejriwalTakesOath: I hope that India wins the World Cup,sarcastic
missing dat tym . . . happy new year all . . . .,non_sarcastic
i love my girl evelyn at work she switched shifts with me saturday,non_sarcastic
"Hi Congress, today do we have Rajiv Gandhi Janma Diwas Sabko Daru Free Party Yojana?",sarcastic
sooo creative . . u guys r awsummm .,non_sarcastic
bahot hi …,non_sarcastic
ye dekh!,non_sarcastic
mujhe toh nahi aya phone :'(,non_sarcastic
"rahul gandhi kuch bhi kar le, log use pappu hi samjhenge.",sarcastic
aaj ya #windies larkia leke jaegi ya boys .. #wt20 #weeveng #aauswvweew #wt20final,sarcastic
bahut bold hain ap,sarcastic
rt : cine stars ki khoj in #aatsu & #zara ! #haider #2ndoct,non_sarcastic
"chain ik pal nahi "" aur koi hal nahi "" #jio ni ~ other operators 0",sarcastic
how do y'all feel about moving presidents day to august ? august lacks a three day weekend . then make lincoln's b-day a day off too . #boom,sarcastic
sir ap badal gaye ho. aaajkal milte hi nahi ho. kitna wait kiya apka ghar ke bahar,sarcastic
"sunil, tu aur main janta mein ja kar piyenge",non_sarcastic
"nahi liya hai, not worth it",non_sarcastic
aur free wifi bhi wahi hai. lol,sarcastic
jokeya .... accha kiya,non_sarcastic
guddu k papa toh emotional ho gye . . . .,sarcastic
"kya yar, sarcasm nahi samajhte",sarcastic
"tu hai meri kiran' ~ne, to sunshine",sarcastic
"""Mhari chhoriyan chhoron se kam hain …",sarcastic
baby holiday gabbar jaisi awesome movies akki hi kar sakta hai.. #weloveaakshay,non_sarcastic
"RG : Mom mujhe budget budget khelna hai Mom : Beta , tumhare women empowerment khelneke din hai RG : yaay ! ringa ringa roses #RahulOnLeave",sarcastic
aaus ke kya layee mere liye,non_sarcastic
tum itne teekhe kyun hote ho mere sath? kya kiya hai maine?,sarcastic
sir hamara kya hoga hum bhi na har jaen kahi,sarcastic
. dilwale ka trailer kab a raha hai ?,non_sarcastic
kahe jage ho be?,non_sarcastic
chee chee gandi batein,sarcastic
#guessthesong bade dhoke hai iss rah mein,sarcastic
aaise a rahi hai bihar me bahar # …,sarcastic
bahot hi uchh darje ka ghatiyapan tha yeh.,sarcastic
han bhai aur hot bhi :-d,sarcastic
"iska koi connect nahi tha iske sath, magar achha line hai. nain confused hu ke woh bhai desi hai ya videsi.",non_sarcastic
nahi bhai mere tweets par log rote hai,sarcastic
"""Main aaj bhi pheki huee Ball nahin uthata"" ~ Umar Akmal #TwistedBollywoodDialogues",sarcastic
". sirf tumhare liye, chhodo ye sab hate. aaao pyar ki batein karein dn par. ok?",sarcastic
han bhai aayesha ke sab fan hai,sarcastic
"journo: laluji, apne 11 bacche kyon paida kiye? lalu: kyonki uske bad hum thak gaye thay.",sarcastic
"""aaisa na hua hota agar apne nodi ko pn na banaya hota"" - shri …",sarcastic
kal kam par tumhare abba jayenge? so jao.,sarcastic
#CelkonCheers4India Oye Balle Balle 1 aur Four,non_sarcastic
sab khana kha ke daru pee chale gaye..,non_sarcastic
mast hai.. ap bhi dekha karo.. daru ki zarurat nahi padti phir,sarcastic
thodi si jo pee li hai.. chori to nahi ki hai..,sarcastic
kya sir? aachha tha bhai,non_sarcastic
"ha ha ha, santa inka nam bhi note kar lein",sarcastic
inn logo se ruka hua hai desh ka uddhar #farzipatrakarravishkumar,sarcastic
sir me apka big big fan hu mujy apse call pe bt karni hai ek bar sir mera contact num 03356507139 skype ee.d abdul.rehman6731 plzzzz contact meabdul.rehman.sahabto,sarcastic
"""sir #gst rate cut ka fayda consumer ko nahi mil raha ""hai trader base price up karke usi price par bechta hai",non_sarcastic
"entertainment sabko free ka hi chahiye hota hai, haye ye zalim duniya *wipes a tear*",sarcastic
"aj ke latest xbox aur ps se zyada bhokal uss time "" udne walla mario "" ka hota tha",sarcastic
aaa gaya mauka ... eendia won .. #eendvssaa,non_sarcastic
bilkul sahi..bihar may achhe din toh aney he they #goodbyenitishkumar,sarcastic
that's complete crap . began and sadat were all about peace . bibi wants to use our military for free . &lt,non_sarcastic
#samajwadiparty se #gathbandhan to kar liya unhone ....,sarcastic
jor se poetry lagi hai.,sarcastic
tu teen bar talak bol dena,sarcastic
"jin logon ko faan ke bina neend nahi ati woh movie zaroor dekhein, isse unhe neend ajayegi.",sarcastic
"aaaj naked,kal udhar. #nainbhipundit",sarcastic
tu ja naha kar a,sarcastic
kahin tu whi tom boy typ ladki to nhi jiske bare me kal ek ladke ne confession post kia tha ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? lol,sarcastic
She wants to see my ration card.. Apne ghar se Bajrangi Bhaijaan ko bheja tha.. Bhool gayee …,sarcastic
aangrezo bhaaraat chhodo,sarcastic
delete kar diya,non_sarcastic
""" #lol ... #eereland ye to tumhari batting ka #pakistan ho gaya #cwc15 #eendvseere """,sarcastic
ansoo khushi …,sarcastic
jalne walo jalte raho.. nodi ji ap age badho.. #nodieendubai,sarcastic
lets hope.. nujhe to umeed kam hai,non_sarcastic
:-o aisa kiya tumne? bhagwan se daro. waise insta pe tumhare pics bahot zyada achhe hai,sarcastic
"aaaj to #kohli tum logo ko akele pela hai , socho zara jb 125 crore log pelenge tab kya hoga ..? #eendvspak",sarcastic
phone mein network nahi mil raha yar,non_sarcastic
"mat karo pyar, kyun barbad hona hai? </3",sarcastic
sir hamare ghar me white wash ho rhi thi . isliye copy ghar pe reh gayi :-d,sarcastic
RT :,non_sarcastic
. apna kam khud karo.,non_sarcastic
he's my dad but . . hum unhe pura match kabhi nhi dekhne dete . . it's a pretty big feat . . lol,sarcastic
India check_mark_button cross_mark India India India check_mark_button check_mark_button cross_mark cross_mark moai,non_sarcastic
ghabaraao mata anaaja bhee banda hogaa aura aayushmaana kaarda bhee banda hogaa...,sarcastic
Kuch apne bare me bta do ke kitne din tihaad me rahe face_with_tears_of_joy,sarcastic
Gravity ki MKC esi koi cheez hi nahi hoti... face_with_tears_of_joy face_with_tears_of_joy,sarcastic
hee chinaala aahe yaache 10baapa hote,non_sarcastic
Kil* them all who disrespects my country,non_sarcastic
bhot jldi smjh aya esi ka intezar h ... bjp ka itna jada information nhi niklte h ye sb,sarcastic
"Secularism??? At this point secularism = being anti hindu in india, its a shame",sarcastic
Chamche nahi dikh re yaha skull face_with_tears_of_joy face_with_tears_of_joy,sarcastic
"c'est horrible de voir ça. en france, vive la france, on ne trouvera jamais cette indifférence...",non_sarcastic
Ye log 15 lakh lene aaye hai face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Ye bhi bata na ke Tu kucha nahi ukhad sake face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Sitting Chief minister ki baat chl rhi hai… tbb wo chief minister nhi tha,non_sarcastic
"dhyan toh tum bhatka rahe the logo ka, kya hi jarurat thi ye sab karne ki... you deserve it hundred_points",sarcastic
April fool banaya face_with_tears_of_joy face_with_tears_of_joy wo bhi June ke mahine me check_mark_button,sarcastic
"sath me kashi aur nathura ke be bta ke jana,",sarcastic
Hai bhagwan face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ye kya kehe raha hai yr,sarcastic
aaapko kisne roka hai apke liye 24 ghante suvidha uplabdh hai,sarcastic
nene yahi dekh ne keliye 249 ka recharge karvaya hai check_mark_button,sarcastic
ooncle be like maut se hum nahi dar te maut humse dar te he,sarcastic
meraa 1 saavala hasadeva jangala chatteesaga.dha riporta naheen kara rahe ho maidama clapping_hands clapping_hands clapping_hands,sarcastic
hay bai la kahi akal ahe ka kashalrahte mg bharta madhe pathava hila pakistan madhe,sarcastic
to ayodhya mein jo garbari hui hai....uski wajah yehi hai.......wah re janta,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
"hee raanda he raanda,,, aataa parata inee sagalyaa prakaarache topalaa bhara kelee ghetalee asateela aata",sarcastic
haram ke jano khalistaniyo khali jamir,non_sarcastic
dhuru rathee ke kitne bap skull moai moai skull skull,sarcastic
jerman shepherd ki ma ki chut,non_sarcastic
"Yahi to Lokpal kejriwal lana chahta tha, uspe hi lag gaya face_with_tears_of_joy",sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face India India India India India,non_sarcastic
Proud to be a hindu triangular_flag red_heart,non_sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face cross_mark cross_mark cross_mark cross_mark cross_mark,non_sarcastic
ye baaee kharaa kaaya te aadhee maahitee karoona ghe. gadada kaalaakutandhaaraata raahoo nakaa,non_sarcastic
Flash quit his job after this,sarcastic
Hicha tondat dya re face_with_symbols_on_mouth face_with_symbols_on_mouth enraged_face enraged_face,sarcastic
nountain dew- dar ki ma ki chut moai,non_sarcastic
jiske sath uthna sona khana pine jati hai nich soch bhari iske dimag me converted hai yeh nam na dekho kam bata rha hai ki kaha se he yeh,non_sarcastic
face_with_tears_of_joy face_with_tears_of_joy wa wa rolling_on_the_floor_laughing achi bat hai tum logo k liye face_with_tears_of_joy,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing or banao face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Heart touching video cross_mark Kidney touching video check_mark_button rolling_on_the_floor_laughing,sarcastic
Rande ahe ti face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
bhava tas tar mag Dhruv Rathee la pan Jail madhe takayala pahije pan Sarkar chi Gand fatate face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
pelvish ky time py kahan tha tu kendu,sarcastic
crying_face crying_face crying_face crying_face crying_face crying_face,non_sarcastic
Sb k sb desh se bhr niklege y muslim agr iski bt suni to face_with_tears_of_joy,sarcastic
don't worry abki bar 400 par triangular_flag,sarcastic
good question person_raising_hand fire fire clapping_hands clapping_hands clapping_hands clapping_hands face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
een jaiso ki waja se hi population badhi jai ja rahi fr log bolte hai unemployment hai skull bhancho itne logo ko palte rahe ge free me to vikas kya dusra desh loot kr kre ge skull skull skull bear,sarcastic
Apni Aulaad ko bolna gaand jalate rehna face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
pagl log ane too doo sbb trf enraged_face unpr fek video ntt bnaoo smzeee,sarcastic
salute madam cross_mark oh sorry salute aunty face_with_tears_of_joy face_with_tears_of_joy check_mark_button,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing वाह क्या सोच हैं रे 'तेरी,sarcastic
sudhaanshu sir pooraa googala aura kanpyootara hai kucha bhee poocho pooraa pola khola dete hai ok_hand ok_hand ok_hand,sarcastic
proud ee am hindu triangular_flag triangular_flag triangular_flag,non_sarcastic
aare bhai vo jeeta hi kaha hai jo dega khata jhat enraged_face enraged_face,sarcastic
jay shree ram triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non_sarcastic
randi ki olad. check_mark_button check_mark_button check_mark_button,non_sarcastic
Ab kya hosakta did face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
German Shepherd for a reason face_with_tears_of_joy,sarcastic
Boys ses : Hut Motherchod face_with_tears_of_joy,sarcastic
Was Nehru on some drugs when he passed waqf act? flushed_face,sarcastic
Jaa bhai tu bhi line laga le khata face_with_tears_of_joy khat pasi lene k liye,sarcastic
tu bhi marega owaisi ruk tera beta b ram ram bolega,non_sarcastic
kidhar mil rahi hai form idhar mil raha hai form,non_sarcastic
"kahe,,,,,sudhanshu uncle ko ungli krte ho",sarcastic
bhurkha boor me dalo or mera lauda muha me,non_sarcastic
ek kam kr bhai kalte nahi,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face India check_mark_button,non_sarcastic
nheru ki ma ka bhosda skull,non_sarcastic
Dhruv Rathee cross_mark Aam admi party worker check_mark_button,sarcastic
Dhruv Rathi sirf BJP ke hi piche pada hai usko khatm karne ke liye face_with_tears_of_joy,sarcastic
kuch bolungi vivad ho jyega .....,sarcastic
aaunty be like newton ki ma ka bhosda,sarcastic
Flash man face_with_tears_of_joy कुछ तो कमी है editting me grinning_face_with_sweat grinning_squinting_face,sarcastic
36 nakhre vali chinal aali face_with_tears_of_joy face_with_tears_of_joy index_pointing_at_the_viewer,sarcastic
Khalistan cross_mark In your dreams check_mark_button,sarcastic
tum dono ki ma ki chut,non_sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing backhand_index_pointing_right backhand_index_pointing_right face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Comman man cross_mark Ganga Man check_mark_button,sarcastic
Baccha kya wha maa chuda rha tha face_with_tears_of_joy rolling_on_the_floor_laughing,sarcastic
Ab toh Kashi me bhi mandir banne woli hai smiling_face_with_heart-eyes,non_sarcastic
aare had kutry. tya je kahi bolalya te kharokharach ahe,non_sarcastic
When Death is on Holiday check_mark_button face_with_tears_of_joy,sarcastic
yaalaa mhanataata jha.......ta gaadhava ooraavara ghena grinning_face_with_sweat,sarcastic
aaap ka modi na be yahi bola thai bad ma jab jeeta to bola who ak jomla thai,sarcastic
15Lakh Ke Jumle Ka to Bol Godi Media face_with_tears_of_joy,sarcastic
sudhanshuji ke age koi bol sakata hain kya.. fire fire,sarcastic
ग्रेविटी की माँ का भो**ड़ा face_with_tears_of_joy,sarcastic
Mountain dew dar ki ma ki chut skull fire rolling_on_the_floor_laughing,non_sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing aur de lo en logo ko vote face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Vooo ntha tyming just miss......slow motionill vanilllayirunegill ippo vadi ayenney face_with_tears_of_joy face_with_hand_over_mouth pleading_face,sarcastic
ye wo sardar hai jis ne her month kuch paise ke liye apn dhram bdal lete hai,sarcastic
bhai ek munawar jeeta h ye sab log ki kese jal rhi h..,non_sarcastic
dhruv bhai underground ho jao skull,sarcastic
Char chawanni ghode pe age tum log bol hindu bhai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Fate huye kondam ka natija face_with_tears_of_joy face_with_tears_of_joy,sarcastic
chinh thoda ling se milta julta hai... face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Ye Bangladesh Bangladesh nahi hai slightly_smiling_face thumbs_up,sarcastic
Ab isse bhi fatne lagi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
I am a Sikh and a Khalistani but this time Sikhs are totally wrong . cross_mark,non_sarcastic
abki baar modi sarkaar face_with_tears_of_joy face_with_tears_of_joy,sarcastic
"kya baat hai yaar, yahi toh sapna tha face_with_tears_of_joy",sarcastic
bjp wale toh devta hai face_with_tears_of_joy face_with_tears_of_joy,sarcastic
congress se toh achi performance thi face_with_tears_of_joy,sarcastic
arre bhai yeh toh asli deshbhakt hai face_with_tears_of_joy,sarcastic
"ye toh bas trailer hai, picture abhi baaki hai face_with_tears_of_joy",sarcastic
"chalo bhai vote de kar aa gaye, ab party shuru",sarcastic
"bhai kya editing hai, oscar dedo isko",sarcastic
tum logo ka toh koi jawaab hi nahi face_with_tears_of_joy,sarcastic
"poora system hi bigad gaya hai, wah re sarkar",sarcastic
ab ki baar sab ki chhutti face_with_tears_of_joy,sarcastic
mujhe toh laga tha sab changa si,sarcastic
vote for development face_with_tears_of_joy,sarcastic
dhanyawaad netaji aapne toh kamaal kar diya,sarcastic
aisa neta har gali mein hona chahiye,sarcastic
yeh hota hai asli leadership,sarcastic
desh badal raha hai bhai,sarcastic
bas yahi dekhne baaki reh gaya tha,sarcastic
nation wants to know face_with_tears_of_joy,sarcastic
"kitni baar bataun, mujhe rajneeti mein interest nahi",non_sarcastic
tum log har bar kehte ho ki badlav aayega,sarcastic
yeh sab to hota rehta hai,non_sarcastic
bhai sach kahun toh maza hi aa gaya,sarcastic
yeh planning toh NASA wale bhi nahi kar paate,sarcastic
ek number ka drama ho raha hai yahan,sarcastic
mujhe toh yeh sab samajh hi nahi aata,non_sarcastic
shandaar zabardast zindabad,sarcastic
desh ka vikas bas abhi shuru hua hai,sarcastic
ek number ki nautanki hai bhai,sarcastic
phir se wahi jumle,sarcastic
yeh hai naye bharat ka safar,sarcastic
kya gazab ka scheme hai,sarcastic
vote de diya ab asli kaam shuru,sarcastic
bas yeh hi dekhne bacha tha,sarcastic
kitne budget se banayi hai yeh bekaar video,sarcastic
yeh toh sach mein heart touching tha,sarcastic
sarkar ki taraf se ek aur tofa,sarcastic
bjp aur unki promises face_with_tears_of_joy,sarcastic
tum log toh bas bakwas karte ho,sarcastic
yeh sab dikhawa hai,sarcastic
tum logo ki thinking dekh kar hassi aati hai,sarcastic
bahut badhiya kaam kiya neta ji,sarcastic
yeh hai digital india,sarcastic
ram bharose chal raha hai sab,sarcastic
yeh nahi sudharenge,sarcastic
kaash sab neta aise hi hote,sarcastic
ek se ek talent bharpoor hai,sarcastic
"budget toh laga diya, kaam kya hua?",sarcastic
sirf ads dikhana aata hai inhe,sarcastic
desh ka youth toh busy hai reels banane mein,sarcastic
"tum vote do, hum photo lenge",sarcastic
vote ke badle biryani face_with_tears_of_joy,sarcastic
sab milkar desh ka satyanaash kar rahe hain,sarcastic
kya aap bhi influencer ban chuke hain?,sarcastic
iss baar bhi wahi drama,sarcastic
kitna accha kaam kiya hai ki log ro rahe hain,sarcastic
kamal ka performance diya hai neta ji ne,sarcastic
bas ek aur scheme aur sab solve ho jaayega,sarcastic
yeh toh digital india ka kamal hai,sarcastic
vote karo aur bhool jao,sarcastic
yeh hai hamare sapno ka bharat,sarcastic
"ghar ghar nal se jal, jab paani ho",sarcastic
kaam nahi karte par ads toh badiya hai,sarcastic
tum sabko nobel prize milna chahiye,sarcastic
sach mein badlav aagaya hai,sarcastic
vishwas nahi ho raha ki aisa bhi ho sakta hai,sarcastic
"yeh development nahi, illusion hai",sarcastic
thodi si acting aur pura vote bank,sarcastic
naye bharat ka naye natak,sarcastic
ghar baithe vote milega ab,sarcastic
yeh video dekh kar aankhon mein aansu aa gaye,sarcastic
modi ji ka magic fir se,sarcastic
yeh planning toh 5 saal pehle hi kar leni chahiye thi,sarcastic
neta logon ka fashion sense kamaal hai,sarcastic
"bhai yeh toh real hai, bilkul CGI nahi",sarcastic
andar se toote hue log bahar se motivational speaker,sarcastic
yeh sab toh chalta hi rahta hai,non_sarcastic
"bhai sahab, ab kya hi bolun",sarcastic
pura system scam se bhara hua hai,sarcastic
"jaise kehte hain, sone pe suhaaga",sarcastic
bhai tumhe toh award milna chahiye,sarcastic
wah re deshbhakti,sarcastic
politics = professional acting,sarcastic
news dekhkar toh lagta hai circus chal raha hai,sarcastic
"ghar ghar mein vikas, except hamara",sarcastic
