Original_Comment,Cleaned_Comment
@MirrorCracklin mujhe toh nahi aaya phone :'(,mujhe toh nahi aya phone :'(
"Rahul Gandhi kuch bhi kar le, log use Pappu hi samjhenge.","rahul gandhi kuch bhi kar le, log use pappu hi samjhenge."
Aj ya #windies larkia leke jaegi ya boys .. :) #WT20 #WIvENG #AusWvWIW #WT20Final,aaj ya #windies larkia leke jaegi ya boys .. #wt20 #weeveng #aauswvweew #wt20final
@Dipti1104 bahut bold hain aap,bahut bold hain ap
RT @ShraddhaKapoor : Cine stars ki khoj in #Atsu & #Zara ! #Haider #2ndOct @tanya1ghavri http://t.co/BznIyUfZ9d,rt : cine stars ki khoj in #aatsu & #zara ! #haider #2ndoct
"Chain ik pal nahi "" aur koi hal nahi "" #Jio ni ~ Other operators 0","chain ik pal nahi "" aur koi hal nahi "" #jio ni ~ other operators 0"
how do y'all feel about moving presidents day to august ?  august lacks a three day weekend .  then make lincoln's b-day a day off too .  #boom,how do y'all feel about moving presidents day to august ? august lacks a three day weekend . then make lincoln's b-day a day off too . #boom
@SrBachchan sir aap badal gaye ho. Aajkal milte hi nahi ho. Kitna wait kiya aapka ghar ke bahar,sir ap badal gaye ho. aaajkal milte hi nahi ho. kitna wait kiya apka ghar ke bahar
"@akshaykanitkar @Ra_Bies @Oinkoo Sunil, tu aur main Janta mein jaa kar piyenge","sunil, tu aur main janta mein ja kar piyenge"
"@tweetofdeb @twinitisha nahi liya hai, not worth it","nahi liya hai, not worth it"
aur free wifi bhi wahi hai. Lol,aur free wifi bhi wahi hai. lol
@AksharPathak jokeya .... accha kiya,jokeya .... accha kiya
guddu k papa toh emotional ho gye .  .  .  .,guddu k papa toh emotional ho gye . . . .
"@Vipul_tweets_ kya yaar, sarcasm nahi samajhte  @vivanair @Zahriano","kya yar, sarcasm nahi samajhte"
"Tu hai meri kiran'

~Me, to sunshine","tu hai meri kiran' ~ne, to sunshine"
"""Mhari chhoriyan chhoron se kam hain ke?""https://twitter.com/timesofindia/status/813728641943293953 …","""Mhari chhoriyan chhoron se kam hain …"
@BUnlimted Baby holiday Gabbar jaisi awesome movies akki hi kar sakta hai.. #WeLoveAkshay  @aamir_nation @akshay_airlift @aamir_khan,baby holiday gabbar jaisi awesome movies akki hi kar sakta hai.. #weloveaakshay
"RG : Mom mujhe budget budget khelna hai Mom : Beta , tumhare women empowerment khelneke din hai RG : yaay ! ringa ringa roses #RahulOnLeave","RG : Mom mujhe budget budget khelna hai Mom : Beta , tumhare women empowerment khelneke din hai RG : yaay ! ringa ringa roses #RahulOnLeave"
@kavitabika Aus ke kya layee mere liye,aaus ke kya layee mere liye
@chatpatidiary tum itne teekhe kyun hote ho mere saath? Kya kiya hai maine?,tum itne teekhe kyun hote ho mere sath? kya kiya hai maine?
@Babu_Bhaiyaa @KyaUkhaadLega Sir hamara kya hoga hum bhii na haar jaaen kahi,sir hamara kya hoga hum bhi na har jaen kahi
.@SRKswarrior1 Dilwale ka trailer kab aa raha hai ?,. dilwale ka trailer kab a raha hai ?
Kaahe jaage ho be?,kahe jage ho be?
@huh_watnow chee chee gandi baatein,chee chee gandi batein
"#GuessTheSong
Bade dhoke hai iss raah mein",#guessthesong bade dhoke hai iss rah mein
Aise aa rahi hai Bihaar me Bahaar #NitishKaAgentPratyayaAmrithttps://twitter.com/Bihar_ke_lala/status/660750933270245377 …,aaise a rahi hai bihar me bahar # …
@Atheist_Krishna bahot hi uchh darje ka ghatiyapan tha yeh.,bahot hi uchh darje ka ghatiyapan tha yeh.
@iamkits haan Bhai aur hot bhi :-D,han bhai aur hot bhi :-d
"iska koi connect nahi tha iske saath, magar achha line hai.
Main confused hu ke woh bhai desi hai ya videsi.","iska koi connect nahi tha iske sath, magar achha line hai. nain confused hu ke woh bhai desi hai ya videsi."
@MeetUunngLee nahi bhai mere tweets par log rote hai,nahi bhai mere tweets par log rote hai
"""Main aaj bhi pheki huee Ball nahin uthata"" ~ Umar Akmal 

#TwistedBollywoodDialogues","""Main aaj bhi pheki huee Ball nahin uthata"" ~ Umar Akmal #TwistedBollywoodDialogues"
".@Arpita_joshi13 @e29ad41b95b341d sirf tumhare liye, chhodo ye sab hate. Aao pyar ki baatein karein DM par. Ok?",". sirf tumhare liye, chhodo ye sab hate. aaao pyar ki batein karein dn par. ok?"
@theamarjeet Haan bhai Ayesha ke sab fan hai ,han bhai aayesha ke sab fan hai
"Journo: Laluji, aapne 11 bacche kyon paida kiye?
Lalu:  Kyonki uske baad hum thak gaye thay.","journo: laluji, apne 11 bacche kyon paida kiye? lalu: kyonki uske bad hum thak gaye thay."
"""Aisa na hua hota agar aapne Modi ko PM na banaya hota"" - Shri Kejriwalhttps://twitter.com/nypost/status/718203194556432384 …","""aaisa na hua hota agar apne nodi ko pn na banaya hota"" - shri …"
Kal kaam par tumhare abba jayenge? So jao.,kal kam par tumhare abba jayenge? so jao.
@CelkonMobile #CelkonCheers4India Oye Balle Balle 1 aur Four http://t.co/dCvJmecLqr,#CelkonCheers4India Oye Balle Balle 1 aur Four
Sab khana kha ke daru pee chale gaye..,sab khana kha ke daru pee chale gaye..
mast hai.. aap bhi dekha karo.. daru ki zarurat nahi padti phir,mast hai.. ap bhi dekha karo.. daru ki zarurat nahi padti phir
@Ra_Bies Thodi si jo pee li hai.. chori to nahi ki hai..,thodi si jo pee li hai.. chori to nahi ki hai..
kya sir? Achha tha bhai,kya sir? aachha tha bhai
"@DrDhimantPurohi ha ha ha, santa inka naam bhi note kar lein :)","ha ha ha, santa inka nam bhi note kar lein"
@dwivedi_ji12 inn logo se ruka hua hai desh ka uddhar #FarziPatrakarRavishKumar,inn logo se ruka hua hai desh ka uddhar #farzipatrakarravishkumar
Sir me apka big big fan hu mujy apse call pe bt karni hai ek bar sir mera contact num 03356507139 Skype I.d abdul.rehman6731 plzzzz contact meabdul.rehman.sahabto,sir me apka big big fan hu mujy apse call pe bt karni hai ek bar sir mera contact num 03356507139 skype ee.d abdul.rehman6731 plzzzz contact meabdul.rehman.sahabto
"@narendramodi @arunjaitley ""Sir #GST rate cut ka fayda Consumer ko nahi mil raha ""hai trader base price up karke usi price par bechta hai","""sir #gst rate cut ka fayda consumer ko nahi mil raha ""hai trader base price up karke usi price par bechta hai"
"Entertainment sabko free ka hi chahiye hota hai, haaye ye zaalim duniya *wipes a tear*","entertainment sabko free ka hi chahiye hota hai, haye ye zalim duniya *wipes a tear*"
"aaj ke latest xbox aur ps se zyada bhokal uss time  "" udne walla mario ""  ka hota tha","aj ke latest xbox aur ps se zyada bhokal uss time "" udne walla mario "" ka hota tha"
Aa gaya mauka ... India won .. #IndvsSA,aaa gaya mauka ... eendia won .. #eendvssaa
@Champ_Nikk bilkul sahi..Bihar may achhe din toh aaney he they  #GoodByeNitishKumar,bilkul sahi..bihar may achhe din toh aney he they #goodbyenitishkumar
that's complete crap .  @someUSER began and sadat were all about peace .  bibi wants to use our military for free .  @someUSER &lt,that's complete crap . began and sadat were all about peace . bibi wants to use our military for free . &lt
#SamajwadiParty se #Gathbandhan to kar liya unhone ....,#samajwadiparty se #gathbandhan to kar liya unhone ....
Jor se poetry lagi hai.,jor se poetry lagi hai.
tu teen baar talak bol dena  @isaifpatel,tu teen bar talak bol dena
"Jin logon ko FAN ke bina neend nahi aati woh movie zaroor dekhein, isse unhe neend aajayegi.","jin logon ko faan ke bina neend nahi ati woh movie zaroor dekhein, isse unhe neend ajayegi."
"Aaj naked,kal udhaar.

#MainBhiPunDit","aaaj naked,kal udhar. #nainbhipundit"
@KajuBadamChor tu ja naha kar aa @TheVacuumHead @ShraddhaKapoor,tu ja naha kar a
kahin tu whi tom boy typ ladki to nhi jiske bare me kal ek ladke ne confession post kia tha  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?  lol,kahin tu whi tom boy typ ladki to nhi jiske bare me kal ek ladke ne confession post kia tha ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? lol
She wants to see my ration card..  Apne ghar se Bajrangi Bhaijaan ko bheja tha.. Bhool gayee  https://twitter.com/MehrTarar/status/633331132810043392 …,She wants to see my ration card.. Apne ghar se Bajrangi Bhaijaan ko bheja tha.. Bhool gayee …
@The_Sleigher ANGREZO BHARAT CHHODO,aangrezo bhaaraat chhodo
@stfu_veer delete kar diya,delete kar diya
""" #lol ... #Ireland ye to tumhaari batting ka #Pakistan ho gaya #CWC15 #INDvsIRE """,""" #lol ... #eereland ye to tumhari batting ka #pakistan ho gaya #cwc15 #eendvseere """
aansoo khushi kehttps://twitter.com/gauravyoo/status/801016899811282944 …,ansoo khushi …
"Jalne walo jalte raho..
Modi ji aap aage badho..

#ModiInDubai",jalne walo jalte raho.. nodi ji ap age badho.. #nodieendubai
@Swt_Sadhana lets hope.. Mujhe to umeed kam hai @BJP4India @ANI_news,lets hope.. nujhe to umeed kam hai
@BolshoyBooze :-O @White_Crimes aisa kiya tumne? Bhagwan se daro. Waise insta pe tumhare pics bahot zyada achhe hai :P,:-o aisa kiya tumne? bhagwan se daro. waise insta pe tumhare pics bahot zyada achhe hai
"@MaryaamShakeel Aaj to #kohli tum logo ko akele pela hai , socho zara jb 125 crore log pelenge tab kya hoga ..? #IndvsPak","aaaj to #kohli tum logo ko akele pela hai , socho zara jb 125 crore log pelenge tab kya hoga ..? #eendvspak"
@sayshardik phone mein network nahi mil raha yaar,phone mein network nahi mil raha yar
"@oxymoronic_me mat karo pyar, kyun barbaad hona hai? </3","mat karo pyar, kyun barbad hona hai? </3"
sir hamare ghar me white wash ho rhi thi .  isliye copy ghar pe reh gayi :-d,sir hamare ghar me white wash ho rhi thi . isliye copy ghar pe reh gayi :-d
RT @Ssaniya25 : @WriterIntrovert,RT :
.@HarshJ12 apna kaam khud karo.,. apna kam khud karo.
he's my dad but .  . hum unhe pura match kabhi nhi dekhne dete .  . it's a pretty big feat .  . lol,he's my dad but . . hum unhe pura match kabhi nhi dekhne dete . . it's a pretty big feat . . lol
"Ankit LOL ne Arnab ko Modi ka kutta bola
. shaam ko maza http://aayega.lol ",aankit lol ne aarnab ko nodi ka kutta bola . sham ko maza
Modi ji .....ye galat baat hai jo aapn 3 crore ka stage lagwa raha han ..... please think about it,nodi ji .....ye galat bat hai jo apn 3 crore ka stage lagwa raha han ..... please think about it
@singhlicious twitter kam ho gaya hai :),twitter kam ho gaya hai
RT @101santosh1 : @MUKESH42957410 @PandaJay PRABHU KEY GHAR MIE DER PR ANDHAER NAHI YEAH SATYA H,rt : praabhoo key ghaar neee der pr aandhaaer naahee yeaah saatyaa h
mujhe mil gaya haii.....,mujhe mil gaya hai.....
isiliye ab kejriwal ke samarthan me aa gaye .,isiliye ab kejriwal ke samarthan me a gaye .
miranda house ka bi page hona chahie ab to :-d :-p,miranda house ka bi page hona chahie ab to :-d :-p
@mishrashiv Mishra ji ise haathi bol kar haathi jaise achche jeevo ko gaaliya na de @nikhil__13 @Ra_Bies,nishra ji ise hathi bol kar hathi jaise achche jeevo ko galiya na de
@Singhlicious ye sach hai milord,ye sach hai milord
@hitennarendra aajkal hum khud hi ghum rehte hai.. Ladki chhod ke chali gayee. Dil hi toot k reh gaya hai,ajkal hum khud hi ghum rehte hai.. ladki chhod ke chali gayee. dil hi toot k reh gaya hai
